stamp,tag,antenna,anchor,distance
1609059607315767200,200,0,101,13.906999588012695
1609059607316565243,201,0,102,11.222999572753906
1609059607340885961,200,1,102,11.494999885559082
1609059607341604369,201,1,100,24.652000427246094
1609059607390757617,200,0,100,29.73699951171875
1609059607391743219,201,0,101,14.666000366210938
1609059607415826809,200,1,101,13.956000328063965
1609059607416079569,201,1,102,11.229000091552734
1609059607441495933,201,0,100,26.43400001525879
1609059607465753882,200,1,100,29.746000289916992
1609059607466522638,201,1,101,14.619000434875488
1609059607490827188,200,0,101,13.88599967956543
1609059607491580383,201,0,102,11.208000183105469
1609059607515822537,200,1,102,11.494000434875488
1609059607516581337,201,1,100,27.496000289916992
1609059607565765909,200,0,100,29.71500015258789
1609059607566552660,201,0,101,14.710000038146973
1609059607590755626,200,1,101,13.930000305175781
1609059607591091532,201,1,102,11.210000038146973
1609059607616570124,201,0,100,28.253999710083008
1609059607640817141,200,1,100,29.840999603271484
1609059607665771908,200,0,101,13.88700008392334
1609059607666741187,201,0,102,11.220999717712402
1609059607690843153,200,1,102,11.494999885559082
1609059607691817650,201,1,100,28.909000396728516
1609059607740759952,200,0,100,29.833999633789062
1609059607742466166,201,0,101,14.720000267028809
1609059607765778803,200,1,101,14.017000198364258
1609059607766142514,201,1,102,11.227999687194824
1609059607791526624,201,0,100,29.236000061035156
1609059607815907244,200,1,100,29.84600067138672
1609059607840837536,200,0,101,14.0
1609059607841581006,201,0,102,11.189000129699707
1609059607865917414,200,1,102,11.494999885559082
1609059607866601429,201,1,100,29.535999298095703
1609059607915749257,200,0,100,29.79199981689453
1609059607916508822,201,0,101,14.737000465393066
1609059607940796360,200,1,101,14.015999794006348
1609059607941103273,201,1,102,11.1899995803833
1609059607966541354,201,0,100,29.600000381469727
1609059607990800977,200,1,100,29.80900001525879
1609059608015791409,200,0,101,13.95300006866455
1609059608016575496,201,0,102,11.211999893188477
1609059608040877982,200,1,102,11.494999885559082
1609059608041518804,201,1,100,29.775999069213867
1609059608090769144,200,0,100,29.770000457763672
1609059608091507698,201,0,101,14.722999572753906
1609059608115792709,200,1,101,13.98900032043457
1609059608116230503,201,1,102,11.218999862670898
1609059608140735323,200,0,102,11.491999626159668
1609059608141503720,201,0,100,29.31999969482422
1609059608165765604,200,1,100,29.812999725341797
1609059608190798575,200,0,101,13.935999870300293
1609059608191529215,201,0,102,11.22700023651123
1609059608215798895,200,1,102,11.491999626159668
1609059608216492116,201,1,100,29.36400032043457
1609059608265765402,200,0,100,29.773000717163086
1609059608266587355,201,0,101,14.710000038146973
1609059608290801198,200,1,101,14.027000427246094
1609059608291204492,201,1,102,11.236000061035156
1609059608316511171,201,0,100,29.329999923706055
1609059608340780770,200,1,100,29.812999725341797
1609059608365818849,200,0,101,13.987000465393066
1609059608366569965,201,0,102,11.234000205993652
1609059608390556901,200,1,102,11.446000099182129
1609059608391506086,201,1,100,29.291000366210938
1609059608440733042,200,0,100,29.774999618530273
1609059608441472717,201,0,101,14.704000473022461
1609059608465778409,200,1,101,13.994999885559082
1609059608466014745,201,1,102,11.241999626159668
1609059608491489160,201,0,100,29.240999221801758
1609059608515798603,200,1,100,29.812999725341797
1609059608540819730,200,0,101,13.944999694824219
1609059608541570852,201,0,102,11.215999603271484
1609059608565843562,200,1,102,11.489999771118164
1609059608615763571,200,0,100,29.73699951171875
1609059608616497695,201,0,101,14.704999923706055
1609059608640780898,200,1,101,13.965999603271484
1609059608641064336,201,1,102,11.220000267028809
1609059608665758657,200,0,102,11.496000289916992
1609059608666498380,201,0,100,29.211000442504883
1609059608690787256,200,1,100,29.81599998474121
1609059608715742234,200,0,101,13.892000198364258
1609059608716594830,201,0,102,11.208999633789062
1609059608740570634,200,1,102,11.468000411987305
1609059608741501272,201,1,100,29.18899917602539
1609059608790742087,200,0,100,29.76300048828125
1609059608791493887,201,0,101,14.704000473022461
1609059608815754591,200,1,101,13.930999755859375
1609059608816049119,201,1,102,11.211000442504883
1609059608841482166,201,0,100,29.197999954223633
1609059608865762228,200,1,100,29.770000457763672
1609059608890736931,200,0,101,13.871999740600586
1609059608891499070,201,0,102,11.192999839782715
1609059608915890336,200,1,102,11.47599983215332
1609059608916543555,201,1,100,29.18899917602539
1609059608965770363,200,0,100,29.75
1609059608966713877,201,0,101,14.708999633789062
1609059608990768269,200,1,101,14.012999534606934
1609059608991032961,201,1,102,11.189000129699707
1609059609016542916,201,0,100,29.187999725341797
1609059609040802191,200,1,100,29.780000686645508
1609059609065757885,200,0,101,13.869000434875488
1609059609066592424,201,0,102,11.175000190734863
1609059609090796979,200,1,102,11.5
1609059609091469236,201,1,100,29.179000854492188
1609059609140791073,200,0,100,29.756999969482422
1609059609141489740,201,0,101,14.734000205993652
1609059609165785167,200,1,101,13.961000442504883
1609059609166089082,201,1,102,11.17199993133545
1609059609190757933,200,0,102,11.505999565124512
1609059609191541379,201,0,100,29.187000274658203
1609059609215788984,200,1,100,29.805999755859375
1609059609216808460,201,1,101,14.696000099182129
1609059609240804655,200,0,101,13.940999984741211
1609059609242087557,201,0,102,11.197999954223633
1609059609265540871,200,1,102,11.473999977111816
1609059609266619213,201,1,100,29.23200035095215
1609059609315789423,200,0,100,29.774999618530273
1609059609316501502,201,0,101,14.725000381469727
1609059609340727435,200,1,101,13.965999603271484
1609059609341008895,201,1,102,11.206999778747559
1609059609366509586,201,0,100,29.222000122070312
1609059609390710752,200,1,100,29.80500030517578
1609059609415792796,200,0,101,13.920999526977539
1609059609416544668,201,0,102,11.220000267028809
1609059609440821746,200,1,102,11.477999687194824
1609059609441478779,201,1,100,29.216999053955078
1609059609490743077,200,0,100,29.77400016784668
1609059609491472642,201,0,101,14.723999977111816
1609059609515742227,200,1,101,13.970999717712402
1609059609516040785,201,1,102,11.232999801635742
1609059609541502977,201,0,100,29.20599937438965
1609059609565719493,200,1,100,29.864999771118164
1609059609566537088,201,1,101,14.654999732971191
1609059609590795376,200,0,101,13.831000328063965
1609059609591539365,201,0,102,11.232000350952148
1609059609615810789,200,1,102,11.487000465393066
1609059609616541234,201,1,100,29.194000244140625
1609059609665716280,200,0,100,29.847999572753906
1609059609666479271,201,0,101,14.680999755859375
1609059609690874406,200,1,101,13.847999572753906
1609059609691097724,201,1,102,11.244999885559082
1609059609716495458,201,0,100,29.19499969482422
1609059609740719116,200,1,100,29.85300064086914
1609059609741493604,201,1,101,14.579000473022461
1609059609765725790,200,0,101,13.810999870300293
1609059609766552529,201,0,102,11.217000007629395
1609059609790795912,200,1,102,11.494000434875488
1609059609791789655,201,1,100,29.198999404907227
1609059609840747258,200,0,100,29.753000259399414
1609059609841444458,201,0,101,14.579999923706055
1609059609865870341,200,1,101,13.991000175476074
1609059609866132951,201,1,102,11.222999572753906
1609059609891484514,201,0,100,29.200000762939453
1609059609915766344,200,1,100,29.756000518798828
1609059609940806965,200,0,101,13.982999801635742
1609059609941873510,201,0,102,11.204000473022461
1609059609965772318,200,1,102,11.494999885559082
1609059609966530879,201,1,100,29.19499969482422
1609059610015705405,200,0,100,29.719999313354492
1609059610016772576,201,0,101,14.631999969482422
1609059610040794351,200,1,101,14.015000343322754
1609059610041111659,201,1,102,11.206999778747559
1609059610066522850,201,0,100,29.197999954223633
1609059610090739058,200,1,100,29.731000900268555
1609059610115755334,200,0,101,13.951000213623047
1609059610116521054,201,0,102,11.197999954223633
1609059610140791731,200,1,102,11.496999740600586
1609059610141543733,201,1,100,29.190000534057617
1609059610190737830,200,0,100,29.716999053955078
1609059610191484979,201,0,101,14.706000328063965
1609059610215787004,200,1,101,13.991999626159668
1609059610216005066,201,1,102,11.197999954223633
1609059610241442006,201,0,100,29.200000762939453
1609059610265720426,200,1,100,29.756999969482422
1609059610290748230,200,0,101,13.916000366210938
1609059610291527842,201,0,102,11.194000244140625
1609059610315598495,200,1,102,11.45300006866455
1609059610316524947,201,1,100,29.28499984741211
1609059610365795789,200,0,100,29.726999282836914
1609059610366509818,201,0,101,14.741000175476074
1609059610390744668,200,1,101,13.994000434875488
1609059610391085179,201,1,102,11.194000244140625
1609059610416443324,201,0,100,29.281999588012695
1609059610440856688,200,1,100,29.746999740600586
1609059610442071931,201,1,101,14.663000106811523
1609059610465727288,200,0,101,13.958999633789062
1609059610466679760,201,0,102,11.206000328063965
1609059610490803725,200,1,102,11.467000007629395
1609059610491506725,201,1,100,29.288000106811523
1609059610540670113,200,0,100,29.739999771118164
1609059610541455292,201,0,101,14.696000099182129
1609059610565723606,200,1,101,13.986000061035156
1609059610566028445,201,1,102,11.21500015258789
1609059610591473126,201,0,100,29.249000549316406
