stamp,tag,antenna,anchor,distance
1624163943170845851,200,0,100,30.315000534057617
1624163943171388321,201,0,101,14.258999824523926
1624163943195819452,200,1,101,14.336999893188477
1624163943196641049,201,1,102,15.217000007629395
1624163943220880180,200,0,102,15.425000190734863
1624163943221385141,201,0,100,31.058000564575195
1624163943245827354,200,1,100,30.417999267578125
1624163943246561260,201,1,101,14.571000099182129
1624163943270849680,200,0,101,14.53600025177002
1624163943271115225,201,0,102,15.175999641418457
1624163943296698963,201,1,100,30.836999893188477
1624163943345857643,200,0,100,30.2549991607666
1624163943346735291,201,0,101,14.446999549865723
1624163943370908272,200,1,101,14.314000129699707
1624163943371685983,201,1,102,15.121000289916992
1624163943395849234,200,0,102,15.432000160217285
1624163943396695214,201,0,100,30.95400047302246
1624163943420954525,200,1,100,30.371999740600586
1624163943421159335,201,1,101,14.46500015258789
1624163943445843028,200,0,101,14.513999938964844
1624163943446728481,201,0,102,15.343000411987305
1624163943471718089,201,1,100,30.72100067138672
1624163943520656140,200,0,100,30.277000427246094
1624163943521617249,201,0,101,14.324000358581543
1624163943545799108,200,1,101,14.293999671936035
1624163943546675662,201,1,102,15.27299976348877
1624163943570814967,200,0,102,15.406000137329102
1624163943571388278,201,0,100,30.878999710083008
1624163943595854812,200,1,100,30.420000076293945
1624163943596566815,201,1,101,14.843000411987305
1624163943620864952,200,0,101,14.503000259399414
1624163943621112698,201,0,102,15.277999877929688
1624163943645369610,200,1,102,15.401000022888184
1624163943646666599,201,1,100,30.655000686645508
1624163943695611620,200,0,100,30.30299949645996
1624163943696607809,201,0,101,14.77400016784668
1624163943720869110,200,1,101,14.083000183105469
1624163943721663685,201,1,102,15.185999870300293
1624163943745828535,200,0,102,15.38599967956543
1624163943746111713,201,0,100,30.59600067138672
1624163943770871248,200,1,100,30.447999954223633
1624163943771122538,201,1,101,14.805999755859375
1624163943795815588,200,0,101,14.180000305175781
1624163943796555017,201,0,102,15.423999786376953
1624163943820387007,200,1,102,15.395999908447266
1624163943821605414,201,1,100,30.447999954223633
1624163943870602609,200,0,100,30.413999557495117
1624163943871658844,201,0,101,14.300000190734863
1624163943895789710,200,1,101,14.097999572753906
1624163943896589831,201,1,102,15.34000015258789
1624163943920837598,200,0,102,15.406999588012695
1624163943921664677,201,0,100,30.75
1624163943945807605,200,1,100,30.663000106811523
1624163943946542197,201,1,101,14.36299991607666
1624163943970827780,200,0,101,14.345000267028809
1624163943971091601,201,0,102,15.348999977111816
1624163943995337480,200,1,102,15.081999778747559
1624163943996622650,201,1,100,30.591999053955078
1624163944045820052,200,0,100,30.535999298095703
1624163944046385749,201,0,101,14.244000434875488
1624163944070791011,200,1,101,14.232999801635742
1624163944071611258,201,1,102,15.243000030517578
