stamp,tag,antenna,anchor,distance
1609055982131385146,200,1,102,11.95300006866455
1609055982132156395,201,1,100,17.697999954223633
1609055982181390218,200,0,100,17.0939998626709
1609055982182110044,201,0,101,20.124000549316406
1609055982206561804,200,1,101,20.148000717163086
1609055982207138731,201,1,102,11.329000473022461
1609055982231383990,200,0,102,11.845999717712402
1609055982232083292,201,0,100,17.819000244140625
1609055982256423181,200,1,100,17.22800064086914
1609055982256925169,201,1,101,20.42099952697754
1609055982281386165,200,0,101,20.32900047302246
1609055982282208833,201,0,102,11.354999542236328
1609055982306466631,200,1,102,11.892999649047852
1609055982307117734,201,1,100,17.700000762939453
1609055982356365949,200,0,100,17.076000213623047
1609055982357146050,201,0,101,20.354999542236328
1609055982381443331,200,1,101,20.19099998474121
1609055982382223519,201,1,102,11.276000022888184
1609055982406412283,200,0,102,11.864999771118164
1609055982407066675,201,0,100,17.82200050354004
1609055982431386348,200,1,100,17.211999893188477
1609055982431635977,201,1,101,20.378999710083008
1609055982456188550,200,0,101,20.72100067138672
1609055982457141386,201,0,102,11.317000389099121
1609055982481417856,200,1,102,11.88599967956543
1609055982482136694,201,1,100,17.698999404907227
1609055982531374128,200,0,100,17.079999923706055
1609055982532155474,201,0,101,20.23699951171875
1609055982556161913,200,1,101,20.621999740600586
1609055982557123286,201,1,102,11.236000061035156
1609055982581352549,200,0,102,11.793999671936035
1609055982582148701,201,0,100,17.78499984741211
1609055982606475310,200,1,100,17.214000701904297
1609055982606633105,201,1,101,20.235000610351562
1609055982631379088,200,0,101,20.714000701904297
1609055982632113271,201,0,102,11.274999618530273
1609055982656387653,200,1,102,11.885000228881836
1609055982657129695,201,1,100,17.672000885009766
1609055982706431946,200,0,100,17.083999633789062
1609055982731208099,200,1,101,20.461999893188477
1609055982732083484,201,1,102,11.208999633789062
1609055982756403311,200,0,102,11.871000289916992
1609055982757125019,201,0,100,17.799999237060547
1609055982781362024,200,1,100,17.393999099731445
1609055982781709399,201,1,101,20.23699951171875
1609055982806253060,200,0,101,20.58799934387207
1609055982807204393,201,0,102,11.27299976348877
1609055982831369597,200,1,102,11.89900016784668
1609055982832080102,201,1,100,17.684999465942383
1609055982881371706,200,0,100,17.33099937438965
1609055982882223473,201,0,101,20.125
1609055982906177121,200,1,101,20.30500030517578
1609055982907097276,201,1,102,11.206999778747559
1609055982931364615,200,0,102,11.859999656677246
1609055982932079757,201,0,100,17.81399917602539
1609055982956356965,200,1,100,17.378999710083008
1609055982957122204,201,1,101,20.833999633789062
1609055982981438477,200,0,101,20.496000289916992
1609055982982270687,201,0,102,11.32699966430664
1609055983006421089,200,1,102,11.942000389099121
1609055983007108232,201,1,100,17.695999145507812
1609055983056377540,200,0,100,17.208999633789062
1609055983057292226,201,0,101,20.77199935913086
1609055983081435215,200,1,101,20.27199935913086
1609055983082118681,201,1,102,11.295000076293945
1609055983106420494,200,0,102,11.920999526977539
1609055983107079134,201,0,100,17.819000244140625
1609055983131387972,200,1,100,17.302000045776367
1609055983131621769,201,1,101,20.815000534057617
1609055983156165861,200,0,101,20.468000411987305
1609055983157170689,201,0,102,11.366999626159668
1609055983181384107,200,1,102,11.944999694824219
1609055983182118386,201,1,100,17.700000762939453
1609055983231349770,200,0,100,17.121999740600586
1609055983232147187,201,0,101,20.514999389648438
1609055983256148991,200,1,101,20.249000549316406
1609055983257104216,201,1,102,11.317999839782715
1609055983281355149,200,0,102,11.890000343322754
1609055983282107084,201,0,100,17.80699920654297
1609055983306387476,200,1,100,17.22599983215332
1609055983306585916,201,1,101,20.469999313354492
1609055983331152057,200,0,101,20.45599937438965
1609055983332112886,201,0,102,11.378000259399414
1609055983356368675,200,1,102,11.914999961853027
1609055983357111128,201,1,100,17.69300079345703
1609055983406388073,200,0,100,17.075000762939453
1609055983407158478,201,0,101,20.249000549316406
1609055983431376298,200,1,101,20.2450008392334
1609055983432090790,201,1,102,11.336000442504883
1609055983456382959,200,0,102,11.857000350952148
1609055983457042727,201,0,100,17.81999969482422
1609055983481362758,200,1,100,17.20199966430664
1609055983481580626,201,1,101,20.184999465942383
1609055983506452509,200,0,101,20.47599983215332
1609055983507115481,201,0,102,11.340999603271484
1609055983531346586,200,1,102,11.965999603271484
1609055983532041914,201,1,100,17.700000762939453
1609055983581335572,200,0,100,17.066999435424805
1609055983582092902,201,0,101,20.113000869750977
1609055983606171932,200,1,101,20.249000549316406
1609055983607071454,201,1,102,11.258000373840332
1609055983631337931,200,0,102,11.935999870300293
1609055983632096499,201,0,100,17.823999404907227
1609055983656324638,200,1,100,17.198999404907227
1609055983657170838,201,1,101,20.825000762939453
1609055983681106689,200,0,101,20.707000732421875
1609055983682195860,201,0,102,11.286999702453613
1609055983706366852,200,1,102,11.958000183105469
1609055983707036384,201,1,100,17.70199966430664
1609055983756306902,200,0,100,17.06599998474121
1609055983757148006,201,0,101,20.43600082397461
1609055983781141947,200,1,101,20.5939998626709
1609055983782072867,201,1,102,11.213000297546387
1609055983806385249,200,0,102,11.892999649047852
1609055983807187131,201,0,100,17.823999404907227
1609055983831351727,200,1,100,17.20199966430664
1609055983832055592,201,1,101,20.694000244140625
1609055983856375849,200,0,101,20.68600082397461
1609055983857092399,201,0,102,11.256999969482422
1609055983881366391,200,1,102,11.914999961853027
1609055983882192153,201,1,100,17.702999114990234
1609055983931348978,200,0,100,17.070999145507812
