stamp,tag,antenna,anchor,distance
1624181089179475447,201,0,100,24.523000717163086
1624181089203222311,200,1,100,24.23200035095215
1624181089203933636,201,1,101,19.233999252319336
1624181089228779112,200,0,101,18.8700008392334
1624181089229637872,201,0,102,5.544000148773193
1624181089253699119,200,1,102,6.165999889373779
1624181089254462856,201,1,100,24.340999603271484
1624181089303697749,200,0,100,24.22599983215332
1624181089328723499,200,1,101,18.4689998626709
1624181089329481869,201,1,102,5.5229997634887695
1624181089354446499,201,0,100,24.51099967956543
1624181089378958645,201,1,101,19.07699966430664
1624181089403738743,200,0,101,18.55699920654297
1624181089404510878,201,0,102,5.559999942779541
1624181089429430150,201,1,100,24.45400047302246
1624181089478707056,200,0,100,24.225000381469727
1624181089503691337,200,1,101,18.469999313354492
1624181089504438867,201,1,102,5.552999973297119
1624181089529418458,201,0,100,24.739999771118164
1624181089553759691,200,1,100,24.52400016784668
1624181089553988535,201,1,101,19.125
1624181089578767853,200,0,101,18.70400047302246
1624181089579591378,201,0,102,5.583000183105469
1624181089604428999,201,1,100,24.38599967956543
1624181089653672692,200,0,100,24.410999298095703
1624181089678685079,200,1,101,18.589000701904297
1624181089679437603,201,1,102,5.567999839782715
1624181089704427872,201,0,100,24.545000076293945
1624181089728247048,200,1,100,24.4060001373291
1624181089728994146,201,1,101,19.141000747680664
1624181089753753879,200,0,101,18.834999084472656
1624181089754472890,201,0,102,5.560999870300293
1624181089778694959,200,1,102,6.0970001220703125
1624181089779384409,201,1,100,24.492000579833984
1624181089828655184,200,0,100,24.295000076293945
1624181089853694396,200,1,101,18.676000595092773
1624181089854422684,201,1,102,5.5320000648498535
1624181089878695701,200,0,102,6.001999855041504
1624181089879464451,201,0,100,24.773000717163086
1624181089903718521,200,1,100,24.281999588012695
1624181089903908132,201,1,101,19.104999542236328
1624181089928780329,200,0,101,18.878000259399414
1624181089929510422,201,0,102,5.5370001792907715
1624181089954432639,201,1,100,24.64900016784668
1624181090003624879,200,0,100,24.216999053955078
1624181090028658825,200,1,101,18.69300079345703
1624181090029462121,201,1,102,5.513999938964844
1624181090054462787,201,0,100,24.902000427246094
1624181090078223307,200,1,100,24.20800018310547
1624181090078941835,201,1,101,19.14299964904785
1624181090103722621,200,0,101,18.898000717163086
1624181090104443746,201,0,102,5.552000045776367
1624181090128612948,200,1,102,6.041999816894531
1624181090129447563,201,1,100,24.719999313354492
1624181090178694781,200,0,100,24.149999618530273
1624181090203685277,200,1,101,18.70400047302246
1624181090204423039,201,1,102,5.547999858856201
1624181090228667265,200,0,102,5.938000202178955
1624181090229389344,201,0,100,24.926000595092773
1624181090253201166,200,1,100,24.106000900268555
1624181090278730622,200,0,101,18.886999130249023
1624181090279445441,201,0,102,5.593999862670898
1624181090303699443,200,1,102,6.035999774932861
1624181090304418765,201,1,100,24.73699951171875
1624181090353632287,200,0,100,24.128000259399414
1624181090378665707,200,1,101,18.68400001525879
1624181090379436862,201,1,102,5.544000148773193
1624181090404393491,201,0,100,24.947999954223633
1624181090428173646,200,1,100,24.1200008392334
1624181090428899382,201,1,101,19.1299991607666
1624181090453689052,200,0,101,18.868000030517578
1624181090454420562,201,0,102,5.544000148773193
1624181090479409606,201,1,100,24.729000091552734
1624181090528630959,200,0,100,24.121000289916992
1624181090553667402,200,1,101,18.46500015258789
1624181090554374998,201,1,102,5.520999908447266
1624181090579379545,201,0,100,24.920000076293945
1624181090603180768,200,1,100,24.11400032043457
1624181090603896143,201,1,101,19.180999755859375
1624181090628414000,200,0,101,18.825000762939453
1624181090629471959,201,0,102,5.558000087738037
1624181090653612801,200,1,102,6.091000080108643
1624181090654337109,201,1,100,24.684999465942383
1624181090703636786,200,0,100,24.125999450683594
1624181090728658443,200,1,101,18.781999588012695
1624181090729434822,201,1,102,5.548999786376953
1624181090754361825,201,0,100,24.652000427246094
