stamp,tag,antenna,anchor,distance
1609059608465778409,200,1,101,13.245
1609059608466014745,201,1,102,10.492
1609059608491489160,201,0,100,28.491
1609059608515798603,200,1,100,29.063
1609059608540819730,200,0,101,13.195
1609059608541570852,201,0,102,10.466
1609059608565843562,200,1,102,10.74
1609059608615763571,200,0,100,28.987
1609059608616497695,201,0,101,13.955
1609059608640780898,200,1,101,13.216
1609059608641064336,201,1,102,10.47
1609059608665758657,200,0,102,10.746
1609059608666498380,201,0,100,28.461
1609059608690787256,200,1,100,29.066
1609059608715742234,200,0,101,13.142
1609059608716594830,201,0,102,10.459
1609059608740570634,200,1,102,10.718
1609059608741501272,201,1,100,28.439
1609059608790742087,200,0,100,29.013
1609059608791493887,201,0,101,13.954
1609059608815754591,200,1,101,13.181
1609059608816049119,201,1,102,10.461
1609059608841482166,201,0,100,28.448
1609059608865762228,200,1,100,29.02
1609059608890736931,200,0,101,13.122
1609059608891499070,201,0,102,10.443
1609059608915890336,200,1,102,10.726
1609059608916543555,201,1,100,28.439
1609059608965770363,200,0,100,29
1609059608966713877,201,0,101,13.959
1609059608990768269,200,1,101,13.263
1609059608991032961,201,1,102,10.439
1609059609016542916,201,0,100,28.438
1609059609040802191,200,1,100,29.03
1609059609065757885,200,0,101,13.119
1609059609066592424,201,0,102,10.425
1609059609090796979,200,1,102,10.75
1609059609091469236,201,1,100,28.429
1609059609140791073,200,0,100,29.007
1609059609141489740,201,0,101,13.984
1609059609165785167,200,1,101,13.211
1609059609166089082,201,1,102,10.422
1609059609190757933,200,0,102,10.756
1609059609191541379,201,0,100,28.437
1609059609215788984,200,1,100,29.056
1609059609216808460,201,1,101,13.946
1609059609240804655,200,0,101,13.191
1609059609242087557,201,0,102,10.448
1609059609265540871,200,1,102,10.724
1609059609266619213,201,1,100,28.482
1609059609315789423,200,0,100,29.025
1609059609316501502,201,0,101,13.975
1609059609340727435,200,1,101,13.216
1609059609341008895,201,1,102,10.457
1609059609366509586,201,0,100,28.472
1609059609390710752,200,1,100,29.055
1609059609415792796,200,0,101,13.171
1609059609416544668,201,0,102,10.47
1609059609440821746,200,1,102,10.728
1609059609441478779,201,1,100,28.467
1609059609490743077,200,0,100,29.024
1609059609491472642,201,0,101,13.974
1609059609515742227,200,1,101,13.221
1609059609516040785,201,1,102,10.483
1609059609541502977,201,0,100,28.456
1609059609565719493,200,1,100,29.115
1609059609566537088,201,1,101,13.905
1609059609590795376,200,0,101,13.081
1609059609591539365,201,0,102,10.482
1609059609615810789,200,1,102,10.737
1609059609616541234,201,1,100,28.444
1609059609665716280,200,0,100,29.098
1609059609666479271,201,0,101,13.931
1609059609690874406,200,1,101,13.098
1609059609691097724,201,1,102,10.495
1609059609716495458,201,0,100,28.445
1609059609740719116,200,1,100,29.103
1609059609741493604,201,1,101,13.829
1609059609765725790,200,0,101,13.061
1609059609766552529,201,0,102,10.467
1609059609790795912,200,1,102,10.744
1609059609791789655,201,1,100,28.449
1609059609840747258,200,0,100,29.003
1609059609841444458,201,0,101,13.83
1609059609865870341,200,1,101,13.241
1609059609866132951,201,1,102,10.473
1609059609891484514,201,0,100,28.45
1609059609915766344,200,1,100,29.006
1609059609940806965,200,0,101,13.233
1609059609941873510,201,0,102,10.454
1609059609965772318,200,1,102,10.745
1609059609966530879,201,1,100,28.445
1609059610015705405,200,0,100,28.97
1609059610016772576,201,0,101,13.882
1609059610040794351,200,1,101,13.265
1609059610041111659,201,1,102,10.457
1609059610066522850,201,0,100,28.448
1609059610090739058,200,1,100,28.981
1609059610115755334,200,0,101,13.201
1609059610116521054,201,0,102,10.448
1609059610140791731,200,1,102,10.747
1609059610141543733,201,1,100,28.44
1609059610190737830,200,0,100,28.967
1609059610191484979,201,0,101,13.956
1609059610215787004,200,1,101,13.242
1609059610216005066,201,1,102,10.448
1609059610241442006,201,0,100,28.45
1609059610265720426,200,1,100,29.007
1609059610290748230,200,0,101,13.166
1609059610291527842,201,0,102,10.444
1609059610315598495,200,1,102,10.703
1609059610316524947,201,1,100,28.535
1609059610365795789,200,0,100,28.977
1609059610366509818,201,0,101,13.991
1609059610390744668,200,1,101,13.244
1609059610391085179,201,1,102,10.444
1609059610416443324,201,0,100,28.532
1609059610440856688,200,1,100,28.997
1609059610442071931,201,1,101,13.913
1609059610465727288,200,0,101,13.209
1609059610466679760,201,0,102,10.456
