stamp,tag,antenna,anchor,distance
1609046842811733587,200,0,100,8.274
1609046842813350880,201,0,101,9.095
1609046842836286003,200,1,101,9.414
1609046842861845394,200,0,102,7.111
1609046842862509218,201,0,100,7.742
1609046842886830331,200,1,100,8.03
1609046842887518876,201,1,101,8.925
1609046842911933484,200,0,101,9.264
1609046842913786246,201,0,102,8.383
1609046842936765105,200,1,102,7.15
1609046842937534386,201,1,100,7.976
1609046842986764141,200,0,100,8.258
1609046842988739505,201,0,101,9.091
1609046843011744745,200,1,101,9.453
1609046843036352556,200,0,102,7.143
1609046843037686174,201,0,100,7.782
1609046843061747904,200,1,100,8.015
1609046843062700858,201,1,101,8.935
1609046843086607370,200,0,101,9.223
1609046843087635967,201,0,102,8.516
1609046843111827316,200,1,102,7.189
1609046843112994454,201,1,100,7.98
1609046843161749821,200,0,100,8.234
1609046843162509581,201,0,101,9.058
1609046843186294713,200,1,101,9.186
1609046843187572479,201,1,102,8.564
1609046843211274808,200,0,102,7.195
1609046843212576346,201,0,100,7.768
1609046843236797192,200,1,100,7.746
1609046843239354885,201,1,101,8.91
1609046843261739031,200,0,101,9.155
1609046843262561354,201,0,102,8.235
1609046843286742036,200,1,102,7.217
1609046843287473772,201,1,100,7.976
1609046843336754003,200,0,100,7.861
1609046843337582723,201,0,101,9.055
1609046843361349106,200,1,101,9.126
1609046843362516569,201,1,102,8.246
1609046843386814360,200,0,102,7.188
1609046843387398229,201,0,100,7.773
1609046843411759382,200,1,100,7.77
1609046843412563200,201,1,101,8.739
1609046843436813026,200,0,101,9.118
1609046843437487519,201,0,102,8.082
1609046843461773498,200,1,102,7.21
1609046843462528654,201,1,100,7.994
1609046843511721797,200,0,100,8.058
1609046843512469924,201,0,101,8.813
1609046843536718645,200,1,101,9.245
1609046843537622621,201,1,102,8.099
1609046843562469720,200,0,102,7.158
1609046843562614601,201,0,100,7.769
1609046843586746569,200,1,100,7.91
1609046843587520765,201,1,101,8.756
1609046843611718101,200,0,101,9.16
1609046843612568712,201,0,102,8.021
1609046843636752369,200,1,102,7.185
1609046843637513571,201,1,100,7.955
1609046843686729308,200,0,100,8.209
1609046843687491325,201,0,101,8.938
1609046843711730738,200,1,101,9.271
1609046843711933859,201,1,102,8.318
1609046843736273542,200,0,102,7.184
1609046843737354743,201,0,100,7.549
1609046843761736080,200,1,100,8.005
1609046843762464438,201,1,101,8.724
1609046843786719539,200,0,101,9.171
1609046843787445587,201,0,102,8.153
1609046843811748121,200,1,102,7.21
1609046843812498567,201,1,100,7.645
1609046843861762536,200,0,100,8.268
1609046843862466183,201,0,101,8.809
1609046843886755660,200,1,101,9.285
1609046843911783276,200,0,102,7.187
1609046843912477679,201,0,100,7.544
1609046843936717007,200,1,100,8.04
1609046843937503184,201,1,101,8.757
1609046843961515950,200,0,101,9.269
1609046843962618826,201,0,102,8.459
1609046843989124503,200,1,102,7.208
1609046843989342751,201,1,100,7.77
1609046844037180483,200,0,100,8.284
1609046844037826860,201,0,101,8.947
1609046844061285723,200,1,101,9.296
1609046844091644728,201,0,100,7.496
1609046844111718070,200,1,100,7.761
1609046844112483269,201,1,101,8.846
1609046844136503753,200,0,101,9.181
1609046844137386296,201,0,102,8.664
1609046844161725188,200,1,102,7.226
1609046844162487167,201,1,100,7.634
1609046844211762431,200,0,100,7.883
1609046844212489099,201,0,101,9.036
1609046844236743697,200,1,101,9.294
1609046844262511482,201,0,100,7.567
1609046844286711627,200,1,100,7.791
1609046844287564193,201,1,101,8.897
1609046844311726399,200,0,101,9.259
1609046844336713449,200,1,102,7.237
1609046844337546218,201,1,100,7.814
1609046844386682539,200,0,100,8.078
1609046844387639086,201,0,101,9.049
1609046844411236336,200,1,101,9.273
1609046844436745401,200,0,102,7.242
1609046844438058387,201,0,100,7.69
1609046844461739609,200,1,100,7.924
1609046844462471783,201,1,101,8.914
1609046844486483674,200,0,101,9.172
1609046844487666856,201,0,102,8.449
1609046844511699920,200,1,102,7.241
1609046844512459303,201,1,100,7.924
1609046844561713146,200,0,100,8.219
1609046844562454252,201,0,101,9.052
1609046844586699181,200,1,101,9.272
1609046844587526595,201,1,102,8.47
1609046844611186662,200,0,102,7.24
1609046844614040202,201,0,100,7.75
1609046844636712383,200,1,100,7.75
1609046844637564249,201,1,101,8.912
1609046844661532289,200,0,101,9.196
1609046844662594763,201,0,102,8.185
1609046844686680756,200,1,102,7.204
1609046844688645777,201,1,100,7.992
1609046844739303375,200,0,100,7.899
1609046844739461524,201,0,101,9.078
1609046844761707503,200,1,101,9.318
1609046844787326242,201,0,100,7.54
