stamp,tag,antenna,anchor,distance
1624163944145835105,200,0,101,13.751
1624163944146090655,201,0,102,14.485
1624163944170326059,200,1,102,14.479
1624163944171650922,201,1,100,29.882
1624163944220662801,200,0,100,29.859
1624163944221682431,201,0,101,13.369
1624163944245802855,200,1,101,13.37
1624163944246613496,201,1,102,14.417
1624163944270798459,200,0,102,14.558
1624163944271637002,201,0,100,30.105
1624163944295796137,200,1,100,30.074
1624163944320834288,200,0,101,13.489
1624163944321077269,201,0,102,14.404
1624163944346627049,201,1,100,29.931
1624163944395796241,200,0,100,29.858
1624163944396377135,201,0,101,13.309
1624163944420837331,200,1,101,13.42
1624163944421685335,201,1,102,14.363
1624163944445823632,200,0,102,14.307
1624163944446106550,201,0,100,29.923
1624163944470821100,200,1,100,30.062
1624163944495797378,200,0,101,13.653
1624163944496123910,201,0,102,14.352
1624163944521815567,201,1,100,29.754
1624163944570595717,200,0,100,29.85
1624163944571324330,201,0,101,13.32
1624163944595756928,200,1,101,13.355
1624163944596625864,201,1,102,14.382
1624163944620848206,200,0,102,14.486
1624163944621058385,201,0,100,29.711
1624163944645788029,200,1,100,30.05
1624163944670796324,200,0,101,13.488
1624163944671071908,201,0,102,14.383
1624163944696608087,201,1,100,29.611
1624163944745838600,200,0,100,29.821
1624163944746593485,201,0,101,13.36
1624163944770767590,200,1,101,13.415
1624163944771638291,201,1,102,14.402
1624163944795767389,200,0,102,14.654
1624163944796341093,201,0,100,29.978
1624163944820836409,200,1,100,30.255
1624163944845798701,200,0,101,13.652
1624163944846108799,201,0,102,14.41
1624163944870306397,200,1,102,14.733
1624163944871630490,201,1,100,29.84
1624163944920560397,200,0,100,29.799
1624163944921350000,201,0,101,13.377
1624163944945842764,200,1,101,13.354
1624163944946637533,201,1,102,14.391
1624163944970765525,200,0,102,14.684
1624163944971358140,201,0,100,30.094
1624163944995787359,200,1,100,29.837
1624163945020821532,200,0,101,13.482
1624163945021065890,201,0,102,14.398
1624163945045300154,200,1,102,14.729
1624163945046329271,201,1,100,29.899
1624163945095748491,200,0,100,29.549
1624163945096546708,201,0,101,13.389
1624163945120757817,200,1,101,13.422
1624163945121580279,201,1,102,14.413
1624163945145794462,200,0,102,14.697
1624163945146301730,201,0,100,30.125
1624163945170750161,200,1,100,29.623
1624163945195757451,200,0,101,13.655
1624163945196368306,201,0,102,14.684
1624163945221592065,201,1,100,29.947
1624163945270546709,200,0,100,29.517
1624163945271542871,201,0,101,13.421
1624163945295766196,200,1,101,13.536
1624163945296623230,201,1,102,14.591
1624163945320854951,200,0,102,14.682
1624163945321062774,201,0,100,29.947
1624163945345778317,200,1,100,30.137
1624163945346530182,201,1,101,13.591
1624163945371614704,201,0,102,14.798
1624163945396562124,201,1,100,29.767
1624163945445769836,200,0,100,29.78
1624163945446574092,201,0,101,13.592
1624163945470757345,200,1,101,13.392
1624163945471616512,201,1,102,14.668
1624163945495732907,200,0,102,14.662
1624163945496607035,201,0,100,30.057
1624163945520787388,200,1,100,29.864
1624163945521032522,201,1,101,13.632
1624163945545772089,200,0,101,13.734
1624163945546049345,201,0,102,14.682
1624163945570288087,200,1,102,14.656
1624163945571589923,201,1,100,29.868
1624163945620782634,200,0,100,29.745
1624163945621547707,201,0,101,13.551
1624163945645763525,200,1,101,13.533
1624163945646609813,201,1,102,14.464
1624163945670767524,200,0,102,14.639
1624163945671601743,201,0,100,30.08
1624163945695773596,200,1,100,29.94
1624163945696072339,201,1,101,13.565
1624163945720733117,200,0,101,13.784
1624163945721585030,201,0,102,14.565
1624163945745823782,200,1,102,15.03
1624163945746517722,201,1,100,29.72
1624163945795697468,200,0,100,29.766
1624163945796552482,201,0,101,13.443
1624163945820781951,200,1,101,13.589
1624163945821579994,201,1,102,14.509
1624163945845726011,200,0,102,14.912
1624163945846572990,201,0,100,29.834
1624163945870761491,200,1,100,29.995
1624163945871534673,201,1,101,13.586
1624163945895743595,200,0,101,13.804
1624163945896049779,201,0,102,14.5
1624163945920281478,200,1,102,14.947
1624163945921544099,201,1,100,29.755
1624163945970759795,200,0,100,29.795
1624163945971248312,201,0,101,13.54
1624163945995743212,200,1,101,13.601
1624163945996610300,201,1,102,14.42
1624163946020791195,200,0,102,14.814
1624163946021277254,201,0,100,29.984
1624163946045705079,200,1,100,30.017
1624163946046300147,201,1,101,13.548
1624163946070709792,200,0,101,13.818
1624163946071544752,201,0,102,14.692
1624163946096528738,201,1,100,29.865
1624163946145507229,200,0,100,29.822
1624163946146291748,201,0,101,13.469
1624163946170753127,200,1,101,13.607
1624163946171538369,201,1,102,14.588
1624163946195731740,200,0,102,14.72
1624163946196276459,201,0,100,30.11
1624163946220732319,200,1,100,30.256
1624163946245716878,200,0,101,13.802
1624163946246058111,201,0,102,14.595
1624163946270278196,200,1,102,14.677
1624163946271552304,201,1,100,29.945
1624163946321578806,201,0,101,13.431
1624163946345728608,200,1,101,13.376
1624163946346513143,201,1,102,14.485
1624163946370706216,200,0,102,14.656
1624163946371017838,201,0,100,29.96
1624163946395696270,200,1,100,30.236
1624163946420777158,200,0,101,13.475
1624163946421018585,201,0,102,14.475
1624163946445223043,200,1,102,14.637
1624163946446484012,201,1,100,29.664
1624163946495670819,200,0,100,29.97
1624163946496221874,201,0,101,13.396
1624163946520712135,200,1,101,13.309
1624163946521553416,201,1,102,14.41
1624163946545700166,200,0,102,14.618
1624163946546345918,201,0,100,29.786
1624163946570707522,200,1,100,30.28
1624163946596552860,201,0,102,14.68
1624163946620275864,200,1,102,14.611
1624163946621551617,201,1,100,29.734
1624163946671300586,201,0,101,13.376
1624163946695747423,200,1,101,13.309
1624163946696539878,201,1,102,14.562
1624163946720741045,200,0,102,14.654
1624163946720984043,201,0,100,29.723
1624163946745703220,200,1,100,30.195
1624163946771502081,201,0,102,14.752
1624163946796515753,201,1,100,29.625
1624163946845485082,200,0,100,29.933
1624163946846321001,201,0,101,13.351
1624163946870727379,200,1,101,13.316
1624163946871564681,201,1,102,14.505
1624163946895725952,200,0,102,14.644
1624163946920679312,200,1,100,30.063
1624163946945711242,200,0,101,13.454
1624163946946018919,201,0,102,14.482
1624163946970288252,200,1,102,14.656
1624163946971535676,201,1,100,29.576
1624163947020686507,200,0,100,29.794
1624163947021243472,201,0,101,13.356
1624163947045748660,200,1,101,13.414
1624163947046552335,201,1,102,14.427
1624163947095738463,200,1,100,29.981
1624163947120670605,200,0,101,13.661
1624163947121021597,201,0,102,14.404
1624163947145281668,200,1,102,14.658
1624163947146548412,201,1,100,29.565
1624163947195650157,200,0,100,29.563
1624163947196263232,201,0,101,13.376
1624163947220662260,200,1,101,13.358
1624163947221502952,201,1,102,14.373
1624163947245741923,200,0,102,14.663
1624163947246469002,201,0,100,29.97
1624163947270732498,200,1,100,29.646
1624163947295678444,200,0,101,13.501
1624163947296496037,201,0,102,14.622
1624163947321553921,201,1,100,29.692
1624163947370672238,200,0,100,29.54
1624163947371521877,201,0,101,13.419
1624163947395696640,200,1,101,13.435
1624163947396474186,201,1,102,14.54
1624163947420741234,200,0,102,14.643
1624163947420953515,201,0,100,29.698
1624163947445721397,200,1,100,29.793
1624163947470704951,200,0,101,13.945
1624163947470974012,201,0,102,14.549
1624163947496519651,201,1,100,29.666
1624163947545719932,200,0,100,29.673
1624163947546417889,201,0,101,13.427
1624163947570689903,200,1,101,13.918
1624163947571606573,201,1,102,14.464
1624163947595670831,200,0,102,14.425
1624163947596216389,201,0,100,29.986
1624163947620753389,200,1,100,29.941
1624163947645699711,200,0,101,14.029
1624163947645974031,201,0,102,14.459
1624163947671505561,201,1,100,29.876
1624163947720693620,200,0,100,29.77
1624163947721489485,201,0,101,13.423
1624163947745681889,200,1,101,13.466
1624163947746529174,201,1,102,14.412
1624163947770690036,200,0,102,14.514
1624163947771526199,201,0,100,30.14
1624163947795705013,200,1,100,30.013
1624163947820718674,200,0,101,13.528
1624163947821370333,201,0,102,14.404
1624163947845182510,200,1,102,14.519
1624163947846493998,201,1,100,29.975
1624163947895461777,200,0,100,29.829
1624163947896476690,201,0,101,13.429
1624163947920699374,200,1,101,13.402
1624163947921481682,201,1,102,14.388
1624163947945703053,200,0,102,14.604
1624163947946502116,201,0,100,30.189
1624163947970656076,200,1,100,30.033
1624163947995684999,200,0,101,13.916
1624163947996535965,201,0,102,14.505
1624163948020248622,200,1,102,14.624
1624163948021551385,201,1,100,29.998
1624163948070438972,200,0,100,29.838
1624163948071466286,201,0,101,13.427
1624163948095686375,200,1,101,13.843
1624163948096574800,201,1,102,14.5
1624163948120717686,200,0,102,14.659
1624163948121500989,201,0,100,30.189
1624163948145655120,200,1,100,30.041
1624163948146404185,201,1,101,13.587
1624163948170692725,200,0,101,13.948
1624163948171535402,201,0,102,14.696
1624163948196478675,201,1,100,29.741
1624163948245651005,200,0,100,29.818
1624163948247834303,201,0,101,13.566
1624163948270649905,200,1,101,13.439
1624163948271519201,201,1,102,14.619
1624163948295719136,200,0,102,14.315
1624163948296453679,201,0,100,29.838
1624163948320765839,200,1,100,30.022
