stamp,tag,antenna,anchor,distance
1609055983156165861,200,0,101,19.718
1609055983157170689,201,0,102,10.617
1609055983181384107,200,1,102,11.195
1609055983182118386,201,1,100,16.95
1609055983231349770,200,0,100,16.372
1609055983232147187,201,0,101,19.765
1609055983256148991,200,1,101,19.499
1609055983257104216,201,1,102,10.568
1609055983281355149,200,0,102,11.14
1609055983282107084,201,0,100,17.057
1609055983306387476,200,1,100,16.476
1609055983306585916,201,1,101,19.72
1609055983331152057,200,0,101,19.706
1609055983332112886,201,0,102,10.628
1609055983356368675,200,1,102,11.165
1609055983357111128,201,1,100,16.943
1609055983406388073,200,0,100,16.325
1609055983407158478,201,0,101,19.499
1609055983431376298,200,1,101,19.495
1609055983432090790,201,1,102,10.586
1609055983456382959,200,0,102,11.107
1609055983457042727,201,0,100,17.07
1609055983481362758,200,1,100,16.452
1609055983481580626,201,1,101,19.435
1609055983506452509,200,0,101,19.726
1609055983507115481,201,0,102,10.591
1609055983531346586,200,1,102,11.216
1609055983532041914,201,1,100,16.95
1609055983581335572,200,0,100,16.317
1609055983582092902,201,0,101,19.363
1609055983606171932,200,1,101,19.499
1609055983607071454,201,1,102,10.508
1609055983631337931,200,0,102,11.186
1609055983632096499,201,0,100,17.074
1609055983656324638,200,1,100,16.449
1609055983657170838,201,1,101,20.075
1609055983681106689,200,0,101,19.957
1609055983682195860,201,0,102,10.537
1609055983706366852,200,1,102,11.208
1609055983707036384,201,1,100,16.952
1609055983756306902,200,0,100,16.316
1609055983757148006,201,0,101,19.686
1609055983782072867,201,1,102,10.463
1609055983806385249,200,0,102,11.143
1609055983807187131,201,0,100,17.074
1609055983831351727,200,1,100,16.452
1609055983832055592,201,1,101,19.944
1609055983856375849,200,0,101,19.936
1609055983857092399,201,0,102,10.507
1609055983881366391,200,1,102,11.165
1609055983882192153,201,1,100,16.953
1609055983931348978,200,0,100,16.321
1609055983932082991,201,0,101,19.881
1609055983956151282,200,1,101,19.669
1609055983957070590,201,1,102,10.403
1609055983981331889,200,0,102,11.1
1609055983982178944,201,0,100,17.072
1609055984006386475,200,1,100,16.459
1609055984007117623,201,1,101,19.988
1609055984031173372,200,0,101,19.787
1609055984032033865,201,0,102,10.422
1609055984056342723,200,1,102,11.134
1609055984057047532,201,1,100,16.95
1609055984106324829,200,0,100,16.311
1609055984107123690,201,0,101,19.785
1609055984131134448,200,1,101,19.314
1609055984132054644,201,1,102,10.383
1609055984157028799,201,0,100,17.073
1609055984181304489,200,1,100,16.455
1609055984181575365,201,1,101,19.755
1609055984206157057,200,0,101,19.377
1609055984207103345,201,0,102,10.463
1609055984231379968,200,1,102,11.207
1609055984232039575,201,1,100,16.948
1609055984281323965,200,0,100,16.31
1609055984282101316,201,0,101,19.54
1609055984306195168,200,1,101,19.263
1609055984307040799,201,1,102,10.42
1609055984331309298,200,0,102,11.171
1609055984332011378,201,0,100,17.072
1609055984356314029,200,1,100,16.45
1609055984356562908,201,1,101,19.483
1609055984381083291,200,0,101,19.86
1609055984382076041,201,0,102,10.507
1609055984406373362,200,1,102,11.193
1609055984407031972,201,1,100,16.951
1609055984456361033,200,0,100,16.312
1609055984457123418,201,0,101,19.384
1609055984481124046,200,1,101,19.804
1609055984482077990,201,1,102,10.465
1609055984506291405,200,0,102,11.126
1609055984507003306,201,0,100,17.07
1609055984531295147,200,1,100,16.454
1609055984532101716,201,1,101,20.11
1609055984556383370,200,0,101,19.946
1609055984557083135,201,0,102,10.526
1609055984581275989,200,1,102,11.198
1609055984582040333,201,1,100,16.948
1609055984631322354,200,0,100,16.33
1609055984656291655,200,1,101,19.722
1609055984657016511,201,1,102,10.49
1609055984681276891,200,0,102,11.093
1609055984682050043,201,0,100,17.07
1609055984706324325,200,1,100,16.47
1609055984707099946,201,1,101,20.122
1609055984731413849,200,0,101,19.874
1609055984732251504,201,0,102,10.54
1609055984756323541,200,1,102,11.094
1609055984757006822,201,1,100,16.947
1609055984806353899,200,0,100,16.321
1609055984831381176,200,1,101,19.628
1609055984832037049,201,1,102,10.481
1609055984881270351,200,1,100,16.427
1609055984881526079,201,1,101,20.187
1609055984906135813,200,0,101,19.808
1609055984907117331,201,0,102,10.545
1609055984981267626,200,0,100,16.307
1609055984982141689,201,0,101,19.71
1609055985006351805,200,1,101,19.558
1609055985006992162,201,1,102,10.472
1609055985032037602,201,0,100,17.144
1609055985056263243,200,1,100,16.465
1609055985056552499,201,1,101,19.638
1609055985081349592,200,0,101,19.762
1609055985082123046,201,0,102,10.541
1609055985106280615,200,1,102,11.167
1609055985106976039,201,1,100,16.95
1609055985156291757,200,0,100,16.338
1609055985157145601,201,0,101,19.435
1609055985181310092,200,1,101,19.53
1609055985182028911,201,1,102,10.462
1609055985206360729,200,0,102,11.095
1609055985206964134,201,0,100,17.102
1609055985231258235,200,1,100,16.472
1609055985232092622,201,1,101,19.772
1609055985256050409,200,0,101,19.715
1609055985257074181,201,0,102,10.53
1609055985281283693,200,1,102,11.154
1609055985282030040,201,1,100,16.81
1609055985331251114,200,0,100,16.327
1609055985332044300,201,0,101,19.606
1609055985356067065,200,1,101,19.298
1609055985356978625,201,1,102,10.468
1609055985381284000,200,0,102,11.1
1609055985382093070,201,0,100,16.875
1609055985406310694,200,1,100,16.466
1609055985406495412,201,1,101,19.57
1609055985431305598,200,0,101,19.389
1609055985432056737,201,0,102,10.537
1609055985456254646,200,1,102,11.153
