stamp,tag,antenna,anchor,distance
1624181090378665707,200,1,101,17.934
1624181090379436862,201,1,102,4.794
1624181090404393491,201,0,100,24.198
1624181090428173646,200,1,100,23.37
1624181090428899382,201,1,101,18.38
1624181090453689052,200,0,101,18.118
1624181090454420562,201,0,102,4.794
1624181090479409606,201,1,100,23.979
1624181090528630959,200,0,100,23.371
1624181090553667402,200,1,101,17.715
1624181090554374998,201,1,102,4.771
1624181090579379545,201,0,100,24.17
1624181090603180768,200,1,100,23.364
1624181090603896143,201,1,101,18.431
1624181090628414000,200,0,101,18.075
1624181090629471959,201,0,102,4.808
1624181090653612801,200,1,102,5.341
1624181090654337109,201,1,100,23.935
1624181090703636786,200,0,100,23.376
1624181090728658443,200,1,101,18.032
1624181090729434822,201,1,102,4.799
1624181090754361825,201,0,100,23.902
1624181090778732165,200,1,100,23.568
1624181090778952307,201,1,101,18.476
1624181090803740773,200,0,101,18.167
1624181090804417807,201,0,102,4.83
1624181090878643311,200,0,100,23.522
1624181090903633207,200,1,101,17.993
1624181090904434826,201,1,102,4.817
1624181090953816392,200,1,100,23.54
1624181090953938357,201,1,101,18.486
1624181090978695275,200,0,101,18.156
1624181090979639581,201,0,102,4.842
1624181091003620225,200,1,102,5.414
1624181091004381663,201,1,100,23.669
1624181091053628899,200,0,100,23.417
1624181091078641959,200,1,101,17.947
1624181091079665324,201,1,102,4.825
1624181091103634320,200,0,102,5.232
1624181091104351543,201,0,100,24.097
1624181091128681473,200,1,100,23.555
1624181091128879552,201,1,101,18.453
1624181091153689468,200,0,101,18.124
1624181091154411805,201,0,102,4.845
1624181091179337537,201,1,100,23.876
1624181091228645420,200,0,100,23.534
1624181091253619728,200,1,101,17.92
1624181091254440058,201,1,102,4.804
1624181091279335747,201,0,100,24.14
1624181091303683543,200,1,100,23.642
1624181091303888177,201,1,101,18.432
1624181091328697279,200,0,101,18.119
1624181091329411620,201,0,102,4.832
1624181091353644623,200,1,102,5.288
1624181091354339498,201,1,100,23.91
1624181091403596639,200,0,100,23.572
1624181091428631867,200,1,101,17.921
1624181091429380230,201,1,102,4.815
1624181091455909496,201,0,100,24.103
1624181091478680967,200,1,100,23.675
1624181091478928879,201,1,101,18.455
1624181091503706341,200,0,101,18.123
1624181091504391824,201,0,102,4.836
1624181091529351886,201,1,100,23.635
1624181091578627907,200,0,100,23.58
1624181091603624286,200,1,101,17.92
1624181091604391096,201,1,102,4.793
1624181091629370606,201,0,100,23.747
1624181091653202422,200,1,100,23.581
1624181091653861767,201,1,101,18.406
1624181091678422810,200,0,101,18.077
1624181091679389489,201,0,102,4.836
1624181091703611482,200,1,102,5.372
1624181091704310606,201,1,100,23.698
1624181091753601445,200,0,100,23.422
1624181091778618561,200,1,101,17.887
1624181091779419339,201,1,102,4.815
1624181091803564001,200,0,102,5.217
1624181091804324419,201,0,100,23.965
1624181091828629670,200,1,100,23.471
1624181091853416879,200,0,101,18.068
1624181091854349750,201,0,102,4.858
1624181091879351926,201,1,100,23.863
1624181091928617713,200,0,100,23.44
1624181091953626109,200,1,101,17.883
1624181091954408490,201,1,102,4.84
1624181091979331403,201,0,100,24.123
1624181092003636897,200,1,100,23.428
1624181092003828022,201,1,101,18.439
1624181092028693415,200,0,101,18.101
1624181092029375851,201,0,102,4.861
1624181092053601921,200,1,102,5.317
1624181092054318392,201,1,100,23.961
1624181092103564695,200,0,100,23.403
1624181092128664518,200,1,101,17.912
1624181092129353483,201,1,102,4.834
1624181092153576443,200,0,102,5.204
1624181092154339862,201,0,100,24.195
1624181092178692395,200,1,100,23.565
1624181092178866083,201,1,101,18.33
1624181092203686654,200,0,101,18.119
1624181092204528056,201,0,102,4.799
1624181092229321071,201,1,100,23.984
1624181092278583078,200,0,100,23.508
1624181092303608648,200,1,101,17.921
1624181092304340511,201,1,102,4.766
1624181092328814354,201,0,100,23.989
1624181092353121182,200,1,100,23.486
1624181092353879061,201,1,101,18.333
1624181092378653019,200,0,101,18.124
1624181092379417434,201,0,102,4.774
