stamp,tag,antenna,anchor,distance
1623492961932104423,200,1,100,11.797
1623492961957389587,200,0,101,16.171
1623492961982152111,200,1,102,8.119
1623492962056573298,200,1,101,16.215
1623492962082105642,200,0,102,7.667
1623492962132051985,200,0,101,16.209
1623492962157141813,200,1,102,7.907
1623492962231548052,200,1,101,16.238
1623492962257114513,200,0,102,7.684
1623492962306998134,200,0,101,16.215
1623492962332102975,200,1,102,7.916
1623492962406564265,200,1,101,16.236
1623492962432048735,200,0,102,7.672
1623492962482029196,200,0,101,16.217
1623492962507080485,200,1,102,7.863
1623492962581560212,200,1,101,16.232
1623492962581999287,201,1,102,8.082
1623492962607540585,201,0,100,11.941
1623492962632880837,201,1,101,15.751
1623492962657120490,200,0,101,16.22
1623492962657768717,201,0,102,8.432
1623492962682119283,200,1,102,8.045
1623492962732817034,201,0,101,16.313
1623492962756623573,200,1,101,16.239
1623492962757884929,201,1,102,8.23
1623492962782113117,200,0,102,7.823
1623492962807690995,201,1,101,16.016
1623492962831987118,200,0,101,16.223
1623492962832698852,201,0,102,8.381
1623492962857059031,200,1,102,7.907
1623492962907292285,201,0,101,15.955
1623492962931543561,200,1,101,16.231
1623492962932746931,201,1,102,8.19
1623492962957035288,200,0,102,7.704
1623492962982747328,201,1,101,15.792
1623492963006990738,200,0,101,16.22
1623492963007463195,201,0,102,8.34
1623492963032093800,200,1,102,7.837
1623492963033021235,201,1,100,13.358
1623492963082091071,200,0,100,13.121
1623492963082786154,201,0,101,16.129
1623492963107092136,200,1,101,16.233
1623492963107792197,201,1,102,8.213
1623492963132075165,200,0,102,7.679
1623492963157798320,201,1,101,15.975
1623492963181997028,200,0,101,16.222
1623492963182916585,201,0,102,8.337
1623492963206540510,200,1,102,7.643
1623492963207195726,201,1,100,13.43
1623492963257090581,200,0,100,12.496
1623492963257831547,201,0,101,16.195
1623492963281509085,200,1,101,16.238
1623492963282728881,201,1,102,8.229
1623492963307035776,200,0,102,7.553
1623492963307740162,201,0,100,12.26
1623492963331961035,200,1,100,12.117
1623492963332772570,201,1,101,16.024
1623492963356983884,200,0,101,16.222
1623492963357233484,201,0,102,8.212
1623492963382066813,200,1,102,7.815
1623492963382995310,201,1,100,12.929
1623492963432240468,201,0,101,16.02
1623492963456544229,200,1,101,16.222
1623492963457764649,201,1,102,8.108
1623492963482085738,200,0,102,7.618
1623492963506755932,200,1,100,12.317
1623492963507634507,201,1,101,15.874
1623492963531988658,200,0,101,16.212
1623492963532655416,201,0,102,8.279
1623492963556519965,200,1,102,7.59
1623492963557911135,201,1,100,13.347
1623492963607070835,200,0,100,12.234
1623492963607726939,201,0,101,16.135
1623492963631487647,200,1,101,16.217
1623492963632672461,201,1,102,8.2
1623492963657051480,200,0,102,7.555
1623492963681755217,200,1,100,12.016
1623492963682653780,201,1,101,15.99
1623492963706948829,200,0,101,16.193
1623492963707583601,201,0,102,8.302
1623492963732056415,200,1,102,7.76
1623492963733017702,201,1,100,13.075
1623492963782718620,201,0,101,16.184
1623492963806522861,200,1,101,16.209
1623492963807707475,201,1,102,8.202
1623492963832026658,200,0,102,7.669
1623492963857626358,201,1,101,15.857
1623492963881964755,200,0,101,16.209
1623492963882212341,201,0,102,8.192
1623492963906504001,200,1,102,7.671
1623492963907799240,201,1,100,12.877
1623492963957763116,201,0,101,15.961
1623492963981505491,200,1,101,16.215
1623492963982732743,201,1,102,8.106
1623492964007027672,200,0,102,7.591
1623492964007709225,201,0,100,12.371
1623492964032679791,201,1,101,15.901
1623492964056951471,200,0,101,16.214
1623492964057201953,201,0,102,8.086
1623492964081490723,200,1,102,7.578
1623492964082994159,201,1,100,12.882
1623492964132692676,201,0,101,16.116
1623492964156481968,200,1,101,16.232
1623492964157737232,201,1,102,8.066
1623492964182035472,200,0,102,7.511
1623492964207605362,201,1,101,16.005
1623492964231907289,200,0,101,16.22
1623492964232605299,201,0,102,8.278
1623492964257040919,200,1,102,7.788
1623492964257197714,201,1,100,12.869
1623492964307878915,201,0,101,16.2
1623492964331494576,200,1,101,16.237
1623492964332711299,201,1,102,8.208
1623492964357028541,200,0,102,7.698
1623492964357790509,201,0,100,12.233
1623492964382692902,201,1,101,16.068
1623492964406934128,200,0,101,16.221
1623492964407164745,201,0,102,8.212
1623492964432013613,200,1,102,7.934
1623492964432907978,201,1,100,12.905
1623492964482200619,201,0,101,16.083
1623492964506549301,200,1,101,16.245
1623492964507740690,201,1,102,8.146
1623492964532011218,200,0,102,7.787
1623492964532691988,201,0,100,12.46
1623492964557761688,201,1,101,15.912
1623492964581916364,200,0,101,16.203
1623492964582439542,201,0,102,8.31
1623492964607037814,200,1,102,7.92
1623492964607792626,201,1,100,12.534
1623492964657199407,201,0,101,15.887
1623492964681493373,200,1,101,16.212
1623492964682715104,201,1,102,8.129
1623492964706991796,200,0,102,7.762
1623492964732757277,201,1,101,15.797
1623492964756978239,200,0,101,16.213
1623492964757480690,201,0,102,8.193
1623492964782069514,200,1,102,7.879
1623492964782937191,201,1,100,13.148
1623492964831986833,200,0,100,13.14
1623492964832150815,201,0,101,15.763
1623492964856542838,200,1,101,16.233
1623492964857733923,201,1,102,8.163
1623492964882061873,200,0,102,7.604
1623492964882913567,201,0,100,12.615
1623492964906993332,200,1,100,12.44
1623492964907717987,201,1,101,15.74
1623492964931982825,200,0,101,16.212
1623492964932797492,201,0,102,8.299
1623492964956445279,200,1,102,7.555
1623492964957275200,201,1,100,12.579
1623492965007144931,201,0,101,15.715
1623492965031931713,200,1,101,16.215
1623492965032695509,201,1,102,8.138
1623492965056969978,200,0,102,7.482
1623492965057439508,201,0,100,12.01
1623492965082725765,201,1,101,15.726
1623492965106937978,200,0,101,16.214
1623492965107428585,201,0,102,8.203
1623492965131495510,200,1,102,7.434
1623492965182854139,201,0,101,16.088
1623492965206499828,200,1,101,16.222
1623492965207654824,201,1,102,8.171
1623492965232688775,201,0,100,11.778
1623492965257739650,201,1,101,15.991
1623492965281897268,200,0,101,16.218
1623492965282138013,201,0,102,8.167
1623492965357008350,200,0,100,13.232
1623492965357180832,201,0,101,16.027
1623492965381883648,200,1,101,16.235
1623492965382672378,201,1,102,8.124
1623492965432692705,201,1,101,15.89
1623492965456919515,200,0,101,16.22
1623492965457589131,201,0,102,8.292
1623492965482007151,200,1,102,7.893
1623492965482841767,201,1,100,12.931
1623492965532023807,200,0,100,12.429
1623492965532692680,201,0,101,16.14
1623492965556946289,200,1,101,16.542
1623492965557710415,201,1,102,8.219
1623492965582008407,200,0,102,7.62
1623492965606994337,200,1,100,12.057
1623492965607698588,201,1,101,16.002
1623492965631907517,200,0,101,16.438
1623492965632602528,201,0,102,8.33
1623492965656947139,200,1,102,7.737
1623492965657736489,201,1,100,12.97
1623492965706940107,200,0,100,12.126
1623492965732631298,201,1,102,8.248
1623492965756945651,200,0,102,7.677
1623492965781999237,200,1,100,11.903
1623492965782624977,201,1,101,15.875
1623492965807113096,201,0,102,8.25
1623492965831967869,200,1,102,7.831
1623492965881962318,200,0,100,12.095
1623492965882756220,201,0,101,16.148
1623492965907571467,201,1,102,8.162
1623492965956680365,200,1,100,11.917
1623492965957735615,201,1,101,15.995
1623492965982822938,201,0,102,8.314
1623492966006447959,200,1,102,7.928
1623492966007145118,201,1,100,12.704
1623492966057670315,201,0,101,16.221
1623492966082598722,201,1,102,8.227
1623492966106950214,200,0,102,7.643
1623492966107594110,201,0,100,12.199
1623492966132631343,201,1,101,16.072
1623492966157491176,201,0,102,8.345
1623492966181958236,200,1,102,7.883
1623492966182682507,201,1,100,12.355
1623492966232626637,201,0,101,16.281
1623492966257643017,201,1,102,8.252
1623492966282384141,201,0,100,11.992
1623492966307656114,201,1,101,16.114
1623492966332631750,201,0,102,8.343
1623492966356423395,200,1,102,7.935
1623492966407634663,201,0,101,16.277
1623492966432650326,201,1,102,8.11
1623492966482662020,201,1,101,16.137
1623492966507567622,201,0,102,8.162
1623492966531917871,200,1,102,8.115
1623492966607659086,201,1,102,8.126
