time_ns,tx,ty,tz,qx,qy,qz,qw,run_time
1609059609351190329,0.856007,-0.722424,-1.07981,0.70268,0.711506,4.35671e-17,4.30268e-17,4.65026
1609059609445044994,0.858615,-0.719931,-1.0789,0.702647,0.711539,4.35692e-17,4.30247e-17,5.12564
1609059609540071487,0.859935,-0.722798,-1.07897,0.70269,0.711497,4.35666e-17,4.30273e-17,6.85064
1609059609651515722,0.86047,-0.723223,-1.07895,0.702704,0.711482,4.35657e-17,4.30282e-17,6.56881
1609059609745394945,0.86277,-0.721005,-1.07913,0.702654,0.711531,4.35687e-17,4.30252e-17,6.097
1609059609840183735,0.861596,-0.720671,-1.07882,0.702668,0.711518,4.35679e-17,4.3026e-17,7.69319
1609059609951174736,0.859493,-0.7199,-1.07925,0.702763,0.711425,4.35622e-17,4.30318e-17,6.82971
1609059610045047283,0.859045,-0.720958,-1.07913,0.702695,0.711492,4.35663e-17,4.30276e-17,8.52032
1609059610140227318,0.859336,-0.724009,-1.07813,0.702629,0.711557,4.35703e-17,4.30236e-17,7.52617
1609059610251176357,0.85995,-0.724277,-1.07792,0.702743,0.711444,4.35634e-17,4.30306e-17,9.90782
1609059610344976187,0.858903,-0.723409,-1.07774,0.702672,0.711514,4.35677e-17,4.30262e-17,10.0483
1609059610440017223,0.856547,-0.721887,-1.07721,0.702647,0.711538,4.35692e-17,4.30247e-17,9.13438
1609059610551044464,0.857385,-0.722728,-1.077,0.702716,0.71147,4.3565e-17,4.3029e-17,10.2551
1609059610645067692,0.860681,-0.720192,-1.07754,0.702706,0.711481,4.35656e-17,4.30283e-17,9.97827
1609059610739526987,0.859576,-0.721134,-1.07823,0.702638,0.711547,4.35697e-17,4.30242e-17,10.1856
1609059610850683689,0.857687,-0.720496,-1.07767,0.702703,0.711483,4.35658e-17,4.30281e-17,10.7523
1609059610946766138,0.859946,-0.721376,-1.07806,0.702772,0.711415,4.35616e-17,4.30324e-17,12.4305
1609059611040043831,0.859729,-0.720807,-1.07976,0.70269,0.711496,4.35666e-17,4.30273e-17,11.4284
1609059611153013945,0.862123,-0.726878,-1.07818,0.702673,0.711513,4.35676e-17,4.30263e-17,13.0782
1609059611246251822,0.865201,-0.721039,-1.07982,0.702692,0.711494,4.35664e-17,4.30275e-17,12.0682
1609059611340208530,0.86611,-0.717139,-1.07781,0.70269,0.711496,4.35666e-17,4.30274e-17,13.6906
1609059611451697111,0.863075,-0.718926,-1.07565,0.702634,0.711552,4.357e-17,4.30239e-17,14.0137
1609059611545896769,0.861368,-0.715174,-1.07787,0.702693,0.711493,4.35664e-17,4.30276e-17,14.4212
1609059611639676809,0.862695,-0.714777,-1.08097,0.702624,0.711561,4.35705e-17,4.30233e-17,14.9408
1609059611750478029,0.864783,-0.716847,-1.07893,0.702726,0.711461,4.35644e-17,4.30295e-17,17.5631
1609059611844249964,0.86313,-0.716503,-1.07947,0.702704,0.711483,4.35658e-17,4.30282e-17,15.9182
1609059611939869404,0.862718,-0.713538,-1.0802,0.702686,0.7115,4.35668e-17,4.30271e-17,16.5454
1609059612050566912,0.854129,-0.723023,-1.07872,0.704832,0.709375,0.000106832,-0.000268272,54.1822
1609059612144885778,0.840597,-0.731647,-1.07946,0.703761,0.710436,-0.000142681,-0.000456305,53.0725
1609059612239547253,0.827848,-0.738266,-1.08369,0.707483,0.70673,-0.000129828,-0.000852657,61.7047
1609059612350527048,0.825385,-0.747087,-1.08077,0.707964,0.706248,-0.00026314,-0.000711974,59.123
1609059612444316149,0.81471,-0.731851,-1.08212,0.709076,0.705132,-0.000160937,-0.00105497,78.5345
1609059612539931536,0.821794,-0.740073,-1.07917,0.709072,0.705136,-0.000138567,-0.000816106,117.885
1609059612650884390,0.814875,-0.744017,-1.07987,0.708345,0.705866,-0.000251703,-0.00107847,75.8524
1609059612745012522,0.81036,-0.74705,-1.08189,0.711301,0.702886,-8.97818e-05,-0.00129301,63.5186
1609059612840616703,0.814745,-0.740176,-1.08187,0.70898,0.705228,-0.000329636,-0.00113293,52.8307
1609059612950987577,0.801754,-0.743041,-1.08291,0.709739,0.704463,-0.000310359,-0.00150467,56.7709
1609059613044886351,0.806586,-0.75148,-1.08118,0.710362,0.703835,-0.000335743,-0.0010489,69.1159
1609059613140022993,0.799647,-0.744243,-1.08328,0.70949,0.704714,-0.00041617,-0.00142151,77.8061
1609059613251049280,0.808075,-0.760017,-1.08212,0.710883,0.70331,-0.000469386,-0.00100346,73.1785
1609059613345152140,0.807221,-0.738915,-1.08357,0.710582,0.703613,-0.000232297,-0.00135323,73.4028
1609059613439872503,0.81569,-0.737782,-1.08343,0.709375,0.704831,-0.000171417,-0.00115155,82.3699
1609059613550514698,0.814975,-0.723477,-1.08356,0.708933,0.705275,-8.68654e-06,-0.00137258,81.6987
1609059613645120621,0.802906,-0.711407,-1.08596,0.710144,0.704054,-2.87021e-06,-0.00178561,53.5708
1609059613739439487,0.810328,-0.714163,-1.08575,0.708235,0.705975,-1.70644e-05,-0.00148339,57.9038
1609059613850419521,0.807042,-0.719936,-1.08547,0.709125,0.705081,-0.000154999,-0.00171448,55.4328
1609059613944536924,0.810955,-0.742664,-1.08201,0.71122,0.702968,-1.72791e-05,-0.00121032,65.9276
1609059614039515734,0.805617,-0.726963,-1.08272,0.710607,0.703588,-9.52657e-05,-0.00143279,60.0534
1609059614150661469,0.803529,-0.731728,-1.08275,0.712284,0.701889,-7.09294e-05,-0.00155212,83.2712
1609059614244650364,0.808536,-0.729073,-1.08256,0.709708,0.704494,-9.96746e-05,-0.00138593,76.6749
1609059614341736794,0.793855,-0.731974,-1.08527,0.710075,0.704124,-0.000209733,-0.00163675,58.958
1609059614451108694,0.803251,-0.741503,-1.08582,0.710916,0.703275,-0.000342244,-0.00139397,68.6456
