time_ns,tx,ty,tz,qx,qy,qz,qw,run_time
1609045333046279007,-0.521481,0.127336,-0.0015589,0.680286,-0.732947,-3.03599e-05,-8.64865e-06,7.83735
1609045333154573354,-0.518044,0.143614,-0.00261258,0.678066,-0.735001,0.000168744,-0.000103586,11.4922
1609045333255576399,-0.519701,0.142737,-0.00135758,0.679233,-0.733923,-1.86667e-05,-4.25141e-05,10.8867
1609045333359212223,-0.51761,0.14789,-0.00267295,0.678134,-0.734938,-5.89362e-06,8.53729e-06,10.4104
1609045333463184886,-0.519244,0.146094,-0.00155954,0.678997,-0.734141,4.00774e-06,-6.00358e-05,11.7767
1609045333566822923,-0.517551,0.145868,-0.00354491,0.678729,-0.734389,-1.68574e-05,1.42731e-05,12.5634
1609045333672239550,-0.52061,0.139884,-0.00343442,0.679007,-0.734132,-1.58373e-06,-3.65957e-05,15.1124
1609045333775456578,-0.520927,0.137135,-0.00259262,0.679291,-0.733869,0.00010715,-7.26049e-05,15.1497
1609045333886298796,-0.521076,0.135959,-0.00242025,0.680116,-0.733104,6.99843e-05,-7.89788e-05,22.551
1609045333965675038,-0.528398,0.127776,-0.00245311,0.679913,-0.733293,-1.22005e-05,7.72907e-05,31.6648
1609045334067297962,-0.520108,0.138266,-0.0011068,0.676835,-0.736135,-1.04321e-05,9.41819e-05,31.9853
1609045334170717525,-0.521164,0.132801,-0.00211657,0.677706,-0.735333,-0.000103607,4.71484e-05,32.3856
1609045334276932098,-0.522038,0.135163,-0.00158844,0.677714,-0.735326,-1.75249e-05,4.6148e-06,35.4634
1609045334378324864,-0.524191,0.126567,-0.00209708,0.679401,-0.733767,8.36442e-05,7.25252e-05,33.3384
1609045334483501183,-0.52979,0.115952,-0.00171713,0.677695,-0.735343,-0.000108802,0.0001696,34.6842
1609045334586692608,-0.525336,0.120428,-0.00392206,0.678838,-0.734288,1.51913e-05,-3.55525e-05,36.1119
1609045334693343616,-0.52375,0.116919,-0.00198796,0.679245,-0.733912,6.53721e-05,-4.18116e-05,39.3326
1609045334795528467,-0.52033,0.135494,-0.000933897,0.6768,-0.736167,2.56641e-05,1.63283e-05,38.6246
1609045334900395956,-0.522267,0.12842,-0.00232236,0.677635,-0.735398,8.63332e-05,-7.14628e-05,40.1171
1609045335003276662,-0.525226,0.12855,-0.00123088,0.679674,-0.733514,-4.78375e-05,-3.32062e-05,40.2845
1609045335084397265,-0.520917,0.1288,-0.00268357,0.679934,-0.733273,8.03471e-05,-3.26758e-05,47.5153
