time_ns,tx,ty,tz,qx,qy,qz,qw,run_time
1624165223713494539,-1.07879,0.52566,-1.25285,0.999729,0.0232762,0.000107691,-9.39392e-05,8.32434
1624165223813491344,-1.08064,0.542665,-1.2514,0.999856,0.0169714,-0.000227537,0.000243212,8.53858
1624165223913487911,-1.08231,0.543331,-1.25047,0.99984,0.0178655,-0.000255753,6.79274e-06,9.44031
1624165224013484716,-1.08254,0.553894,-1.25177,0.9999,0.0141007,-0.000437291,-0.000115624,10.1555
1624165224113481522,-1.08075,0.552805,-1.25171,0.999945,0.0104175,-0.000560953,0.000602213,10.5135
1624165224213478327,-1.0756,0.535552,-1.25439,0.999905,0.013744,-0.000171095,0.00084769,12.8907
1624165224313474894,-1.07626,0.543309,-1.25598,0.999914,0.0130744,-0.000217148,0.000597799,13.7407
1624165224413471699,-1.07337,0.542638,-1.25169,0.999841,0.017822,-0.000238766,0.000651546,14.7732
1624165224513468504,-1.07593,0.546023,-1.25078,0.999883,0.0152843,-0.000499226,0.000464023,15.2199
1624165224613465309,-1.07686,0.539657,-1.25309,0.999864,0.0164571,-0.000380215,0.000492504,16.3433
1624165224713461876,-1.08036,0.54894,-1.25052,0.999887,0.0150313,-0.000552114,0.000519784,30.7002
1624165224813458681,-1.07709,0.541419,-1.24975,0.999856,0.0169499,-0.000484964,0.00043299,35.9713
1624165224913455486,-1.07576,0.532307,-1.25273,0.999845,0.017572,-0.000200871,0.000823909,35.3781
1624165225013452291,-1.07591,0.533083,-1.25362,0.999834,0.0182235,-7.01949e-05,0.000697016,48.3646
1624165225113448858,-1.0773,0.53878,-1.25312,0.999813,0.0193254,9.07015e-05,0.000437519,50.5195
1624165225213445663,-1.0758,0.533563,-1.25322,0.999802,0.0198989,3.76589e-05,0.000507078,50.4086
1624165225313442469,-1.07577,0.522574,-1.25443,0.999715,0.0238466,-0.000130448,0.000506887,76.2925
1624165225413439274,-1.07604,0.519755,-1.25507,0.999707,0.0242159,-7.47104e-05,0.000388043,91.537
1624165225513435841,-1.08185,0.533488,-1.25285,0.999794,0.020277,-0.000429533,0.000551013,72.9026
1624165225613432646,-1.07305,0.518716,-1.25346,0.999669,0.0257038,-0.000249049,0.000821056,53.6562
1624165225713429451,-1.07564,0.53196,-1.25238,0.999764,0.0217026,-0.000398889,0.000635849,28.2906
1624165225813426018,-1.06882,0.529258,-1.25307,0.999787,0.0206376,-0.000236458,0.00069692,25.6161
1624165225913422823,-1.07737,0.531547,-1.25176,0.999849,0.0173483,-0.000574195,0.000808803,29.5138
1624165226013419628,-1.06845,0.521376,-1.253,0.999795,0.0202069,-0.000427929,0.00104174,26.9865
1624165226113416433,-1.07143,0.534662,-1.25175,0.999831,0.0183286,-0.000636602,0.00108803,36.3967
1624165226213413000,-1.07684,0.541712,-1.25253,0.999897,0.0142945,-0.000779715,0.00109418,30.2171
1624165226313409805,-1.07077,0.544213,-1.25314,0.999882,0.0153214,-0.000425191,0.00107963,34.3612
1624165226413406610,-1.07555,0.566791,-1.25171,0.999964,0.00842231,-0.000791084,0.00105421,32.1293
1624165226513403416,-1.07377,0.568564,-1.25287,0.999924,0.0123524,-0.000375042,0.000521093,40.696
1624165226613399982,-1.07635,0.561043,-1.25077,0.999901,0.0140656,-0.0004254,0.00049287,41.9118
1624165226713396788,-1.07333,0.569447,-1.25313,0.999888,0.0149682,-0.000188184,0.000261693,54.023
1624165226813393593,-1.07223,0.543618,-1.25074,0.99978,0.0209658,-0.000600447,0.000517626,39.3313
1624165226913390398,-1.07519,0.544583,-1.25094,0.999773,0.021311,-0.000643286,0.000354121,44.6526
1624165227013386965,-1.07006,0.54959,-1.25185,0.999789,0.0205344,-0.000298748,0.000322178,51.7236
1624165227113383770,-1.07019,0.557096,-1.252,0.999859,0.0167932,-0.000495902,4.65089e-05,38.9049
