time_ns,tx,ty,tz,qx,qy,qz,qw,run_time
1609055136088402510,-3.70392,4.00667,-1.08541,0.95966,0.281164,0.000209963,0.000536291,12.1472
1609055136191488504,-3.71284,4.02049,-1.08207,0.95965,0.281194,-0.000272935,0.000915026,14.5038
1609055136294738054,-3.70616,4.03482,-1.08192,0.957902,0.287094,-4.91335e-05,0.000922936,18.7887
1609055136397681952,-3.70863,4.03329,-1.08183,0.959245,0.282572,-0.000400556,0.0012115,18.5271
1609055136469608545,-3.70103,4.05178,-1.08059,0.957676,0.287846,-2.17281e-05,0.00101973,19.4384
1609055136569804192,-3.70551,4.05182,-1.07748,0.95914,0.28293,-0.000561971,0.00121806,23.5714
1609055136672887564,-3.71448,4.05785,-1.07489,0.959415,0.281992,-0.000980489,0.00171712,31.8344
1609055136775919437,-3.70877,4.04636,-1.07852,0.959394,0.282065,-0.000244049,0.00179773,33.8069
1609055136879291058,-3.71516,4.04862,-1.07599,0.959578,0.281435,-0.000898891,0.00186938,40.5787
1609055136982205868,-3.71483,4.05025,-1.07512,0.95867,0.284516,-0.000638981,0.00152122,40.8585
1609055137085417509,-3.71983,4.04713,-1.07507,0.959224,0.282638,-0.000866972,0.00199786,47.6152
1609055137188630104,-3.71117,4.06113,-1.07623,0.958052,0.286588,-0.000640821,0.00160774,51.9875
1609055137291611195,-3.71145,4.0533,-1.07583,0.959101,0.283062,-0.000393444,0.00119184,55.4978
1609055137394832611,-3.72026,4.06056,-1.07399,0.959355,0.282193,-0.00101051,0.00218304,75.0931
1609055137497732878,-3.72007,4.05828,-1.07489,0.958398,0.28543,-0.000571855,0.00134446,46.4197
1609055137569763899,-3.72355,4.05489,-1.07607,0.959126,0.282973,-0.00070176,0.00172568,43.769
1609055137670088291,-3.71827,4.0518,-1.0747,0.95824,0.28596,-0.000822574,0.00152491,41.0313
1609055137773097754,-3.71881,4.05724,-1.07542,0.959462,0.28183,-0.00104948,0.00171854,45.5746
1609055137876194477,-3.70805,4.06312,-1.07479,0.958076,0.286511,-0.00076003,0.00146016,45.7052
1609055137979385614,-3.71559,4.05488,-1.07549,0.959069,0.283166,-0.000796431,0.0016607,51.7148
1609055138082436800,-3.71203,4.0578,-1.07521,0.957923,0.287021,-0.00103515,0.00137356,50.1943
1609055138185598373,-3.71144,4.04745,-1.07651,0.958276,0.28584,-0.00103062,0.000991775,48.7836
1609055138288430691,-3.71865,4.05181,-1.07439,0.959155,0.282871,-0.00161758,0.00179227,62.3053
1609055138391639709,-3.72159,4.05158,-1.07436,0.958159,0.28623,-0.00159556,0.00128148,58.391
1609055138498102665,-3.71921,4.05172,-1.07633,0.959392,0.28207,-0.00130051,0.00149498,58.1593
1609055138570419550,-3.71134,4.0595,-1.07745,0.957794,0.28745,-0.00100225,0.00146143,75.9153
1609055138671918392,-3.71493,4.05186,-1.07755,0.958931,0.283633,-0.00100657,0.00130854,86.2769
1609055138775399446,-3.72121,4.05848,-1.07584,0.959038,0.283268,-0.0011557,0.00174068,63.75
1609055138879186630,-3.70756,4.04939,-1.08092,0.95933,0.282282,-0.00024158,0.00159689,64.5328
1609055138981231689,-3.72072,4.04983,-1.08036,0.959103,0.283054,-0.000310419,0.0015382,85.8977
1609055139084480762,-3.71296,4.05306,-1.0815,0.958378,0.285497,-0.000159512,0.00151427,91.3444
1609055139188335419,-3.71719,4.05308,-1.08027,0.958838,0.283948,-0.0003921,0.00173625,74.7315
1609055139289583921,-3.7092,4.06128,-1.07994,0.957774,0.287518,-0.000317699,0.00155166,81.6391
1609055139392522335,-3.71429,4.04974,-1.08055,0.958748,0.284253,-0.000416401,0.00123219,75.8325
1609055139496001244,-3.72051,4.05563,-1.07826,0.958886,0.283786,-0.000754814,0.00187395,76.2454
1609055139599014521,-3.71492,4.05786,-1.07837,0.95819,0.286128,-0.000452015,0.00170093,114.272
1609055139669296503,-3.72099,4.05757,-1.07847,0.958988,0.283437,-0.000920775,0.00228212,118.568
1609055139771072865,-3.71355,4.0615,-1.07751,0.95845,0.285257,-0.000751927,0.00131292,98.257
1609055139874389648,-3.71609,4.05166,-1.07567,0.958988,0.283443,-0.000828416,0.00129934,136.44
1609055139977259398,-3.70472,4.06256,-1.07571,0.957688,0.287806,-0.000508941,0.00113252,92.6205
1609055140080521584,-3.70856,4.0541,-1.07765,0.95896,0.283538,-0.000555461,0.00155065,81.5673
1609055140183890343,-3.71626,4.05633,-1.07576,0.959247,0.28256,-0.000929275,0.00191939,61.0485
1609055140286782503,-3.70969,4.04389,-1.07923,0.959084,0.283116,-0.000562811,0.00179759,56.0707
1609055140389881849,-3.72225,4.03949,-1.07989,0.958763,0.284195,-0.0010443,0.00235929,57.1465
1609055140493188143,-3.72039,4.0344,-1.08036,0.95814,0.286295,-0.000640482,0.00177336,72.0239
1609055140596115112,-3.72363,4.03264,-1.07897,0.958713,0.284371,-0.00056799,0.00183479,58.3507
1609055140700333834,-3.72146,4.04097,-1.08083,0.957396,0.288772,-0.000793944,0.00185884,74.6112
1609055140769939899,-3.71889,4.04053,-1.08341,0.957866,0.287212,-0.00029443,0.00129533,64.61
1609055140871591091,-3.73326,4.05024,-1.07627,0.958467,0.285195,-0.00140417,0.00176964,60.1977
1609055140974408627,-3.72249,4.04655,-1.07901,0.958645,0.2846,-0.000878073,0.0014355,56.0222
1609055141077489376,-3.73007,4.04844,-1.07744,0.958597,0.284759,-0.0010794,0.00176169,79.1989
1609055141181153059,-3.7208,4.05679,-1.07949,0.958156,0.286242,-0.000702828,0.00148379,78.4976
1609055141283681631,-3.72551,4.04983,-1.07981,0.958722,0.28434,-0.000768051,0.00154653,80.8466
1609055141386656284,-3.71234,4.06088,-1.07911,0.957481,0.288491,-0.000507569,0.00150896,75.5392
1609055141489892244,-3.71053,4.05952,-1.07673,0.959119,0.282999,-0.00102574,0.00138322,78.9618
1609055141592767477,-3.71644,4.06386,-1.07429,0.959298,0.282388,-0.00115237,0.00174139,77.8193
1609055141696143627,-3.71213,4.06675,-1.07423,0.958699,0.284419,-0.000756066,0.00132049,74.7232
1609055141799069166,-3.71712,4.06102,-1.07655,0.959281,0.282445,-0.00107233,0.00169581,57.21
1609055141869473696,-3.71413,4.06452,-1.07867,0.958656,0.284565,-0.000579385,0.000982041,56.3802
1609055141971397400,-3.71735,4.05593,-1.07441,0.959261,0.282513,-0.00112022,0.00170063,77.6579
1609055142074043036,-3.70654,4.06588,-1.07518,0.957973,0.286855,-0.000928071,0.00133973,85.345
1609055142177167416,-3.715,4.05154,-1.07775,0.958582,0.284811,-0.000849979,0.00151206,86.913
1609055142280574322,-3.72989,4.05773,-1.07439,0.959202,0.282711,-0.00121079,0.0019832,84.3979
1609055142383740664,-3.73059,4.04315,-1.07787,0.958874,0.283823,-0.00101355,0.00186856,82.3504
1609055142487863302,-3.73745,4.04126,-1.07732,0.959064,0.283176,-0.00132941,0.0023249,77.9427
1609055142590128183,-3.73683,4.04476,-1.07434,0.958551,0.284912,-0.00176489,0.00162168,76.1209
1609055142692801476,-3.7383,4.04051,-1.07416,0.959128,0.282962,-0.00151625,0.00175638,78.0236
1609055142795998096,-3.73954,4.04435,-1.07386,0.960047,0.279825,-0.00165699,0.00225284,74.4126
1609055142898846149,-3.72835,4.04525,-1.07825,0.960229,0.279203,-0.00146711,0.00220586,81.8203
1609055142969356298,-3.73416,4.05425,-1.07683,0.960506,0.278244,-0.00161071,0.00259025,79.443
1609055143073289394,-3.72561,4.04715,-1.07891,0.960723,0.277499,-0.00162295,0.00196249,74.5297
1609055143173997879,-3.7355,4.04518,-1.07664,0.960926,0.276786,-0.0022714,0.00230383,75.4828
1609055143277559042,-3.73707,4.04479,-1.07752,0.96046,0.278409,-0.00169024,0.00139301,81.4761
1609055143381267548,-3.73246,4.05293,-1.07798,0.961664,0.274221,-0.00165377,0.00154977,72.704
1609055143483867884,-3.71798,4.06486,-1.07773,0.960074,0.279737,-0.00150163,0.00148499,78.8582
1609055143586970091,-3.7257,4.05332,-1.07902,0.96019,0.279342,-0.0013078,0.00122544,76.1214
1609055143690078497,-3.73924,4.0535,-1.07402,0.960596,0.277936,-0.00203625,0.00181904,68.1433
1609055143793278456,-3.74847,4.03854,-1.07621,0.959297,0.282392,-0.00171606,0.001329,67.4708
1609055143896554947,-3.76479,4.03371,-1.07439,0.960056,0.279796,-0.00132492,0.00234851,62.7207
1609055143999361992,-3.74346,4.05324,-1.07578,0.958956,0.283544,-0.00113073,0.00217152,58.7559
1609055144069704533,-3.74709,4.04432,-1.07614,0.959503,0.281687,-0.00116684,0.00235788,72.0307
1609055144171433449,-3.72497,4.0591,-1.07632,0.958369,0.285523,-0.000842979,0.00215557,71.0326
1609055144274325371,-3.72719,4.05365,-1.077,0.959638,0.281231,-0.00108092,0.00194741,64.6493
1609055144377553940,-3.72982,4.05789,-1.07506,0.959746,0.280858,-0.00100233,0.00236839,78.6352
1609055144482353449,-3.71411,4.05306,-1.07856,0.960018,0.279931,-0.000433691,0.00206987,76.895
1609055144584256411,-3.71917,4.05175,-1.07697,0.959775,0.280758,-0.000760552,0.0024051,81.4856
1609055144691246986,-3.71904,4.05582,-1.07734,0.959036,0.283278,-0.000629903,0.00172974,81.8239
1609055144794765711,-3.71816,4.05604,-1.07845,0.960048,0.279828,-0.000553028,0.00184637,82.5185
1609055144897527456,-3.7265,4.06329,-1.07414,0.960017,0.279926,-0.00145705,0.00235237,80.9434
1609055144969637156,-3.71726,4.05749,-1.07694,0.960269,0.279068,-0.000890362,0.00184781,79.8022
1609055145069844961,-3.71012,4.05912,-1.07512,0.958667,0.284522,-0.00104515,0.00176785,85.4223
1609055145172804356,-3.70819,4.05336,-1.08152,0.959604,0.281346,-0.000620975,0.00177259,75.1517
1609055145275603771,-3.7189,4.05771,-1.08109,0.959665,0.281137,-0.000972094,0.00212541,73.9288
1609055145383765221,-3.71992,4.05643,-1.07934,0.959009,0.283372,-0.000726167,0.00154522,75.6947
1609055145486662626,-3.72627,4.04791,-1.07998,0.958902,0.28373,-0.000962131,0.00199472,56.537
1609055145589866638,-3.7153,4.05795,-1.07875,0.957693,0.287788,-0.000482007,0.0015296,60.3203
1609055145694107294,-3.7088,4.0525,-1.08256,0.958842,0.283934,-0.000439074,0.00160438,60.5303
1609055145795924664,-3.71851,4.05397,-1.08087,0.959041,0.28326,-0.000762097,0.00193521,57.557
1609055145899274349,-3.71582,4.05275,-1.08172,0.958345,0.285607,-0.000665676,0.00165805,65.9049
1609055145969696045,-3.7221,4.05236,-1.08164,0.959206,0.282697,-0.000985576,0.00216474,133.21
1609055146073385477,-3.72186,4.04911,-1.07973,0.958457,0.285231,-0.00115047,0.00125972,79.6803
1609055146174312830,-3.72505,4.04744,-1.07962,0.959213,0.282679,-0.00112738,0.00161574,68.3078
1609055146277687550,-3.71845,4.06165,-1.07828,0.957814,0.287382,-0.00125744,0.00147853,73.9846
1609055146381156921,-3.72225,4.06127,-1.07832,0.95922,0.282653,-0.0013454,0.00163476,78.9424
1609055146483739853,-3.73207,4.06247,-1.07748,0.95962,0.281288,-0.00184415,0.00192481,91.8566
1609055146587285757,-3.72513,4.05149,-1.07951,0.959472,0.281795,-0.0011593,0.00211476,80.8915
1609055146690243244,-3.7292,4.04934,-1.07845,0.959726,0.280927,-0.00127355,0.00217747,80.6813
1609055146792874336,-3.72837,4.04315,-1.07745,0.958561,0.284879,-0.00127822,0.00164337,80.6767
1609055146895936966,-3.73078,4.0367,-1.0765,0.959422,0.281965,-0.0014586,0.00167675,109.409
1609055146999186039,-3.73524,4.04913,-1.07404,0.959553,0.281513,-0.00182323,0.00245373,115.837
1609055147069931746,-3.72871,4.04885,-1.07907,0.959766,0.280785,-0.00159078,0.0023044,72.0809
1609055147171777487,-3.73679,4.0563,-1.07565,0.959944,0.280174,-0.00206477,0.00250552,60.6412
1609055147273991585,-3.73274,4.05248,-1.07701,0.960238,0.279172,-0.00192051,0.00161457,60.4514
