time_ns,tx,ty,tz,qx,qy,qz,qw,run_time
1624182044031737089,-1.00563,0.532508,-1.56851,0.731812,0.681506,-6.32589e-05,-0.000109376,6.91687
1624182044131734371,-1.02687,0.540821,-1.56738,0.735137,0.677919,-0.000492919,-5.54258e-05,7.07272
1624182044231731653,-1.02272,0.539469,-1.56755,0.734724,0.678366,-0.000458299,-7.85719e-05,8.86939
1624182044331728935,-1.03504,0.544828,-1.56688,0.736597,0.676332,-0.000703742,-0.00012949,7.74133
1624182044431726217,-1.04587,0.551939,-1.56599,0.739615,0.67303,-0.000947715,-0.000113139,12.3639
1624182044531723499,-1.04315,0.550724,-1.56484,0.738675,0.674062,-0.000945089,-9.15731e-05,8.57481
1624182044631721020,-1.04739,0.55411,-1.56338,0.740463,0.672096,-0.0012216,0.00010132,9.59734
1624182044731718302,-1.04363,0.552019,-1.56474,0.739134,0.673558,-0.000932517,-0.000129437,14.3736
1624182044831715584,-1.05352,0.557608,-1.56404,0.740738,0.671793,-0.00106484,-0.000295368,18.8853
1624182044931712866,-1.04637,0.551919,-1.56476,0.739136,0.673556,-0.00100063,-7.17851e-05,23.5431
1624182045031710148,-1.04991,0.55553,-1.5642,0.739995,0.672611,-0.0011234,-0.000108399,17.4701
1624182045131707668,-1.05664,0.555906,-1.56491,0.742104,0.670284,-0.00122366,-0.000121147,24.7523
1624182045231704950,-1.05536,0.556392,-1.56553,0.740772,0.671755,-0.00112653,-0.000232748,15.872
1624182045331702232,-1.05709,0.557196,-1.56484,0.741936,0.670469,-0.00126971,-0.000125708,22.0184
1624182045431699514,-1.05159,0.55768,-1.56534,0.740327,0.672246,-0.00114504,-0.000163396,31.5503
1624182045531696796,-1.06575,0.56396,-1.56463,0.741853,0.670561,-0.00128899,-0.000336988,20.2599
1624182045631694317,-1.06066,0.557797,-1.56343,0.740149,0.672442,-0.00121638,-9.39565e-05,21.2339
1624182045731691599,-1.0435,0.565307,-1.56313,0.736878,0.676024,-0.00118276,0.000220533,22.5623
1624182045831688881,-1.04834,0.565574,-1.56257,0.739447,0.673213,-0.00143967,0.000315757,27.5087
1624182045931686163,-1.04067,0.558272,-1.56312,0.738026,0.674771,-0.0011734,0.000267229,23.7015
1624182046031683445,-1.04721,0.560323,-1.56376,0.739791,0.672835,-0.00121891,0.000182407,28.0221
1624182046131680727,-1.04668,0.559389,-1.56454,0.738645,0.674094,-0.00108705,5.91376e-05,25.9535
1624182046231678247,-1.05854,0.566037,-1.56343,0.74047,0.672088,-0.00131087,-9.1746e-05,34.7659
1624182046331675529,-1.04686,0.561111,-1.56484,0.738947,0.673762,-0.00109115,-0.000127252,38.9979
1624182046431672812,-1.05541,0.567198,-1.56446,0.74002,0.672583,-0.00123386,-0.000163343,39.9608
1624182046531670094,-1.05355,0.570521,-1.56373,0.742042,0.670351,-0.00144304,-0.000128467,33.7241
1624182046631667376,-1.05427,0.569956,-1.56498,0.740776,0.671751,-0.00124566,-0.000232433,36.3034
1624182046731664896,-1.0575,0.57091,-1.56473,0.74204,0.670354,-0.00138109,-0.000111021,30.2163
1624182046831662178,-1.05077,0.567181,-1.56472,0.740384,0.672183,-0.00122895,-0.000139896,28.2935
1624182046931659460,-1.06419,0.573339,-1.56472,0.74184,0.670575,-0.00131518,-0.000360032,26.1496
1624182047031656742,-1.0543,0.565919,-1.56583,0.74008,0.672517,-0.0010792,-0.00037052,25.4363
1624182047131654024,-1.06091,0.570257,-1.5654,0.740921,0.67159,-0.00129296,-0.000311273,31.8087
1624182047231651306,-1.06123,0.571287,-1.56502,0.742738,0.66958,-0.00145967,-0.000210588,40.116
1624182047331648827,-1.05933,0.569574,-1.56435,0.741326,0.671143,-0.00133394,-0.000238886,56.7178
1624182047431646109,-1.06053,0.571065,-1.56353,0.742385,0.669973,-0.00139823,-0.000194866,59.5389
1624182047531643391,-1.05886,0.566738,-1.56243,0.740865,0.671652,-0.00130938,-0.0001389,57.6143
1624182047631640673,-1.05877,0.56673,-1.56232,0.741459,0.670997,-0.00132736,-0.000131553,61.0491
1624182047731637955,-1.04603,0.566415,-1.56213,0.739377,0.673291,-0.00102962,-0.000179516,66.5694
