time_ns,tx,ty,tz,qx,qy,qz,qw,run_time
1623492363218745947,-1.91115,2.90179,-1.00475,0.0796297,-0.996824,-0.000119437,-0.000667442,8.49097
1623492363318742752,-1.92671,2.89786,-0.998512,0.0759395,-0.99711,-0.000312504,-0.00205561,9.06445
1623492363418739557,-1.93056,2.89657,-0.997427,0.07431,-0.997233,-6.09682e-05,-0.00225612,10.5844
1623492363518736124,-1.93685,2.89572,-0.992299,0.0749016,-0.997187,-0.00021692,-0.00296341,9.93244
1623492363618732929,-1.94048,2.90055,-0.98885,0.0730624,-0.997322,0.00073357,-0.0032387,13.2989
1623492363718729734,-1.93979,2.8958,-0.985534,0.074764,-0.997196,9.21478e-05,-0.00311757,14.062
1623492363818726301,-1.93378,2.91334,-0.984201,0.0733622,-0.9973,0.000669161,-0.0030732,17.6478
1623492363918723106,-1.93297,2.91015,-0.988487,0.0749707,-0.997181,0.000440146,-0.00301574,36.0239
1623492364018719673,-1.94712,2.8967,-0.985825,0.0742393,-0.997234,0.000206756,-0.00362832,32.0821
1623492364118716478,-1.94238,2.89691,-0.986604,0.0740296,-0.99725,0.000527999,-0.00340636,21.9463
1623492364218713284,-1.9435,2.89867,-0.986878,0.0733198,-0.997303,-2.69774e-05,-0.00337178,17.7062
1623492364318709850,-1.94641,2.90401,-0.984721,0.0705037,-0.997503,0.00109119,-0.00387769,20.3345
1623492364418706656,-1.93495,2.911,-0.989751,0.0711289,-0.997462,0.000898515,-0.00313596,26.468
1623492364518703461,-1.93107,2.92536,-0.988904,0.0674041,-0.997718,0.00153912,-0.00356734,36.337
1623492364618700027,-1.92511,2.92344,-0.995308,0.0692983,-0.997591,0.00130483,-0.00300897,40.1748
1623492364718696833,-1.9342,2.92391,-0.992734,0.0679112,-0.997683,0.000654301,-0.00399754,42.6635
1623492364818693399,-1.93654,2.91753,-0.992547,0.0673915,-0.997718,0.0010017,-0.00396251,45.2609
1623492364918690205,-1.93493,2.91857,-0.989957,0.0684786,-0.997644,3.42448e-05,-0.00416621,34.0909
1623492365018687010,-1.93969,2.91996,-0.983742,0.0664803,-0.997777,0.00119158,-0.00457725,57.7694
1623492365118683577,-1.93227,2.92272,-0.984379,0.0681541,-0.997667,0.00117932,-0.00380577,50.0108
1623492365218680382,-1.93619,2.92327,-0.981055,0.0673136,-0.997723,0.00152293,-0.0038243,41.8827
1623492365318677187,-1.92062,2.93511,-0.980303,0.0714127,-0.99744,0.00139055,-0.00349919,53.6884
1623492365418673754,-1.92674,2.93444,-0.97359,0.0698364,-0.997549,0.000669118,-0.00431311,36.9135
1623492365518670559,-1.92364,2.93057,-0.979137,0.0712995,-0.997448,0.000683556,-0.00362234,31.9373
1623492365618667364,-1.92414,2.93342,-0.979219,0.0714568,-0.997436,0.000421905,-0.00380768,49.0029
1623492365718663931,-1.92899,2.93307,-0.980837,0.0701647,-0.997527,0.0013489,-0.00378679,63.7937
1623492365818660736,-1.92722,2.93042,-0.98062,0.0714226,-0.997438,0.000436454,-0.00390634,71.8457
1623492365918657303,-1.92345,2.94004,-0.979007,0.0686966,-0.99763,0.000804336,-0.00377957,58.9387
1623492366018654108,-1.92406,2.93333,-0.981784,0.0708723,-0.997479,0.000119631,-0.00349849,70.1607
1623492366118650913,-1.92028,2.93843,-0.980267,0.068568,-0.997639,0.000458475,-0.00373601,75.7151
1623492366218647480,-1.92764,2.92665,-0.980967,0.0667956,-0.997758,0.00109383,-0.00411927,79.8699
1623492366318644285,-1.92289,2.93457,-0.98318,0.0670404,-0.997744,0.0010535,-0.00348148,68.4998
1623492366418641090,-1.92882,2.93338,-0.980189,0.064883,-0.997883,0.00205087,-0.00393054,66.9006
1623492366518637657,-1.92963,2.92548,-0.982082,0.0679063,-0.997683,0.00127444,-0.00404341,67.0775
1623492366618634462,-1.92842,2.93222,-0.977635,0.0680965,-0.997668,0.00177246,-0.00418369,52.958
1623492366718631029,-1.92797,2.9252,-0.980885,0.0708125,-0.997481,0.00122852,-0.00402113,41.0893
1623492366818627834,-1.93452,2.92556,-0.975718,0.0702914,-0.997516,0.000701294,-0.00460557,53.3763
1623492366918624640,-1.93183,2.91894,-0.976502,0.0704072,-0.997508,0.000741526,-0.00446283,75.4788
1623492367018621206,-1.93076,2.91969,-0.974116,0.0708653,-0.997476,6.21146e-05,-0.00452381,49.6569
1623492367118618011,-1.93365,2.92144,-0.971971,0.0697008,-0.997558,0.00115814,-0.00434326,62.7678
1623492367218614817,-1.93292,2.91632,-0.974244,0.0717778,-0.997412,0.000395427,-0.00420889,50.0072
1623492367318611383,-1.92981,2.92541,-0.97487,0.0700703,-0.997534,0.000691089,-0.00397706,64.7739
1623492367418608189,-1.92907,2.92072,-0.978538,0.0722798,-0.997377,0.00035361,-0.00393083,52.939
1623492367518604994,-1.94122,2.91198,-0.975208,0.0722596,-0.997375,-0.000133672,-0.00457846,47.6179
1623492367618601561,-1.94524,2.90694,-0.979325,0.0701874,-0.997523,0.000524609,-0.00469994,54.0407
1623492367718598366,-1.9368,2.91653,-0.981241,0.0704756,-0.997504,0.000723834,-0.00440691,67.7767
1623492367818594933,-1.93955,2.91967,-0.977307,0.0684898,-0.997641,0.00150271,-0.00449175,51.7829
1623492367918591738,-1.9353,2.91887,-0.974798,0.0699101,-0.997544,0.000677548,-0.00413515,50.8265
1623492368018588543,-1.92867,2.93214,-0.978401,0.0671681,-0.997733,0.00102435,-0.00411749,48.7161
1623492368118585110,-1.92963,2.92466,-0.980408,0.0697263,-0.997558,0.000779431,-0.00399294,48.8936
1623492368218581915,-1.94246,2.91492,-0.98063,0.0701816,-0.997522,0.000281095,-0.00499894,65.9236
1623492368318578720,-1.94012,2.91077,-0.986431,0.0697958,-0.997549,0.000605098,-0.00488583,53.2634
