time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609059014168936729,2,1609059014168936729,0.010072,-0.003225,0.001989,0.998995,-0.000134,0.044802,-0.00018,-0.000701,-0.004216,-0.008485,0.01291,0.002013,0.004223
1609059014279815435,3,1609059014279815435,0.009211,-0.002319,0.00051,0.998998,-6.8e-05,0.044736,-0.000109,-0.005637,-0.000432,-0.00998,0.020431,0.002663,-0.000554
1609059014373925447,4,1609059014373925447,0.007792,-0.003533,0.000793,0.999,-0.000128,0.044694,-0.000338,-0.010331,-0.004767,-0.007468,0.016931,0.003567,0.002385
1609059014468769789,5,1609059014468769789,0.008781,-0.003176,0.004075,0.999002,-9.8e-05,0.044662,-0.000358,-0.007289,-0.004477,0.0013,0.009791,0.002248,0.006425
1609059014579801083,6,1609059014579801083,0.008741,-0.001779,0.007538,0.998996,-0.000109,0.044792,-0.000467,-0.007962,0.000127,0.00944,0.023878,0.003258,-0.000917
1609059014673629045,7,1609059014673629045,0.008498,-0.002681,0.007076,0.999,-7.6e-05,0.044703,-0.000282,-0.00846,-0.002617,0.00541,0.016862,0.002167,0.003897
1609059014768413305,8,1609059014768413305,0.008136,-0.000372,0.00765,0.998998,-0.00014,0.044742,4.1e-05,-0.00926,0.003042,0.005971,0.015615,0.002935,0.00407
1609059014879488468,9,1609059014879488468,0.008385,-0.001894,0.004648,0.998991,-8.6e-05,0.044889,-0.00028,-0.009551,-3.1e-05,-0.001757,0.020104,0.001449,0.000928
1609059014975207329,10,1609059014975207329,0.008062,-0.002154,0.003824,0.998996,-0.000106,0.044781,-0.000186,-0.010308,-0.001658,-0.003686,0.017927,0.003644,0.000647
1609059015068381786,11,1609059015068381786,0.00716,-0.001877,0.002513,0.998993,-0.000176,0.044862,-0.000266,-0.011909,-0.002286,-0.007218,0.011102,-0.000372,0.005317
1609059015179516792,12,1609059015179516792,0.006132,-0.003997,0.003632,0.998998,-0.000107,0.044733,-0.000307,-0.014116,-0.004641,-0.003155,0.021747,0.003525,-0.000133
1609059015273656130,13,1609059015273656130,0.007457,-0.003792,0.003748,0.998999,-0.000109,0.044711,-0.000121,-0.009373,-0.003904,-0.003608,0.015789,0.001829,0.002338
1609059015368643999,14,1609059015368643999,0.00848,-0.003081,0.00533,0.998997,-7.8e-05,0.044772,-0.000181,-0.007029,-0.001977,0.000193,0.011073,0.001406,0.004384
1609059015479629755,15,1609059015479629755,0.008341,-0.003279,0.004969,0.999001,-0.000129,0.044685,-0.000387,-0.007855,-0.001443,-0.000243,0.022104,0.002029,-0.000315
1609059015574507713,16,1609059015574507713,0.009252,-0.001689,0.006418,0.998993,-6.7e-05,0.044851,-0.000327,-0.005767,0.001633,0.003012,0.015209,0.003643,0.002545
1609059015668402433,17,1609059015668402433,0.008983,0.000754,0.004778,0.999005,-5.3e-05,0.04459,-0.000392,-0.006935,0.00559,-0.000885,0.011749,0.000569,0.005797
1609059015780409575,18,1609059015780409575,0.007257,0.002226,0.006236,0.999,2.6e-05,0.044692,-0.000369,-0.012699,0.009746,0.002461,0.02414,0.004817,-0.00075
1609059015873701334,19,1609059015873701334,0.007222,-0.00064,0.00533,0.998997,-8.2e-05,0.044771,-0.000369,-0.013233,0.001707,-0.000185,0.018723,0.002468,0.001901
1609059015968589783,20,1609059015968589783,0.007125,0.000311,0.006648,0.999008,-9.5e-05,0.044516,-0.000575,-0.012277,0.001909,0.002032,0.011396,-0.000181,0.005407
