time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609045332144848108,2,1609045332144848108,-0.003432,-0.00457,0.003079,0.999691,-0.000171,0.024125,-0.00595,0.011447,-0.0207,0.007079,0.012057,0.004672,-0.00043
1609045332247721672,3,1609045332247721672,-0.001242,-0.004893,0.001271,0.999691,-0.000173,0.02409,-0.005974,0.013877,-0.01342,0.000575,0.019969,0.00578,-0.005704
1609045332350683451,4,1609045332350683451,-0.00251,-0.003498,0.001302,0.999691,-0.000129,0.024077,-0.006019,0.007873,-0.006087,0.00174,0.0187,0.004332,-0.004549
1609045332457468271,5,1609045332457468271,-0.001427,-0.003873,0.001039,0.999691,-1.3e-05,0.02407,-0.006074,0.006822,-0.00496,0.001899,0.024794,0.008503,-0.010939
1609045332558644295,6,1609045332558644295,-0.002768,-0.005548,0.00146,0.999694,-0.00017,0.024,-0.00595,0.00312,-0.008276,0.001392,0.020538,0.001912,-0.00464
1609045332660090208,7,1609045332660090208,-0.00306,-0.004197,0.001574,0.999692,-9.5e-05,0.024075,-0.0059,8.8e-05,-0.000494,0.004198,0.026788,0.006291,-0.010887
1609045332763096094,8,1609045332763096094,-0.005295,-0.006653,0.000932,0.999692,-0.000236,0.024045,-0.005981,-0.004977,-0.004219,0.000729,0.026366,0.008574,-0.013393
1609045332833462477,9,1609045332833462477,-0.007219,-0.002968,0.00078,0.999693,-0.000168,0.024017,-0.005941,-0.009086,-0.002996,-0.00153,0.00165,-0.001232,0.00823
1609045332936508417,10,1609045332936508417,-0.00324,-0.001314,0.001784,0.999693,-4e-05,0.024055,-0.005884,-0.000126,0.003824,0.001393,0.00775,0.003066,0.002081
1609045333038441658,11,1609045333038441658,-0.003117,2.1e-05,0.001579,0.999694,-0.000253,0.024003,-0.00589,0.000963,0.006301,0.000437,0.007185,0.002417,0.003373
1609045333143081188,12,1609045333143081188,-0.00729,-0.00187,0.00036,0.99969,-0.000182,0.024092,-0.006205,-0.007258,0.001754,-0.001949,0.01453,0.003804,-0.001224
1609045333244689703,13,1609045333244689703,-0.00635,-0.00324,0.001662,0.999694,-0.000133,0.023988,-0.006012,-0.00466,-0.001552,0.001831,0.013952,0.004441,-0.00178
1609045333348801851,14,1609045333348801851,-0.005783,-0.003391,0.000372,0.999693,-0.000114,0.024038,-0.005977,-0.00303,0.00035,-0.001041,0.017455,0.004066,-0.003243
1609045333451408148,15,1609045333451408148,-0.00814,-0.003504,0.001415,0.999694,-0.000116,0.023978,-0.006051,-0.007376,-0.000718,0.002299,0.021199,0.007308,-0.00763
1609045333554259539,16,1609045333554259539,-0.006646,-0.002174,-0.000491,0.999693,-1e-06,0.024019,-0.005968,-0.001128,0.004697,-0.001376,0.024554,0.008205,-0.009483
1609045333657127142,17,1609045333657127142,-0.006185,-0.003064,-0.00037,0.999694,-0.000286,0.023977,-0.006034,0.001479,0.001451,0.000608,0.025996,0.006855,-0.008841
1609045333760306835,18,1609045333760306835,-0.004552,-0.002795,0.000526,0.999691,-9.6e-05,0.024041,-0.0062,0.003716,0.00024,0.002689,0.026954,0.006729,-0.012785
1609045333863747835,19,1609045333863747835,-0.007762,-0.001461,0.000597,0.999692,-0.000219,0.024003,-0.006224,0.000859,0.005927,0.003077,0.028291,0.006994,-0.01323
1609045333934010267,20,1609045333934010267,-0.007983,-0.005796,0.000539,0.999691,-0.00018,0.024087,-0.006008,-0.002357,-0.008727,0.00152,0.00421,0.00056,0.006469
1609045334035312653,21,1609045334035312653,-0.004613,-0.003252,0.002033,0.999691,-0.000256,0.024126,-0.005967,0.006222,0.000346,0.00413,0.002964,0.000954,0.006262
1609045334138331890,22,1609045334138331890,-0.004546,-0.00213,0.001014,0.999694,-0.000233,0.023999,-0.00588,0.005973,0.00404,0.00191,0.00947,0.004722,0.002604
1609045334241468668,23,1609045334241468668,-0.004519,-0.003729,0.001515,0.999693,-0.00031,0.024023,-0.005979,0.005032,0.000447,0.001825,0.010792,0.004728,0.001276
1609045334344986439,24,1609045334344986439,-0.004072,-0.002495,0.001026,0.999689,-0.000437,0.024195,-0.006023,0.008833,0.002625,-9.7e-05,0.015244,0.003604,-0.001937
1609045334448817015,25,1609045334448817015,-0.004114,-0.0048,0.001378,0.999691,-0.000365,0.024148,-0.005718,0.006425,0.000779,0.00265,0.019812,0.004545,-0.005231
1609045334550580740,26,1609045334550580740,-0.002987,-0.001978,-0.000792,0.999692,-2e-05,0.024065,-0.005987,0.004115,0.004205,-0.002955,0.019438,0.006415,-0.00687
1609045334654011011,27,1609045334654011011,-0.001556,0.0005,0.001192,0.99969,-7.4e-05,0.024106,-0.006074,0.00579,0.009294,0.002415,0.023473,0.007298,-0.008975
1609045334756903887,28,1609045334756903887,-0.00771,-0.001673,0.002009,0.99969,-0.000149,0.024134,-0.006001,-0.007501,0.003598,0.003867,0.022249,0.006809,-0.009268
