time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1624165222813523769,2,1624165222813523769,0.005197,-0.004978,0.00123,0.999516,4.7e-05,0.031088,-0.000217,-0.000912,-0.006598,0.001989,0.016873,0.005346,-0.001592
1624165222913520575,3,1624165222913520575,0.006604,-0.007466,-0.000136,0.999515,2e-05,0.031132,-0.000237,0.001832,-0.010149,-0.001946,0.01922,0.008355,-0.002218
1624165223013517380,4,1624165223013517380,0.003268,-0.004808,-8.3e-05,0.999514,-5.3e-05,0.031151,-0.000497,-0.006579,-0.002354,-0.000437,0.019808,0.007367,-0.004006
1624165223113514185,5,1624165223113514185,0.004077,-0.004108,-0.00075,0.999516,5.3e-05,0.031085,-0.000469,-0.002778,-0.000502,-0.002758,0.018615,0.007663,-0.000986
1624165223213510752,6,1624165223213510752,0.005201,-0.00378,0.000258,0.999507,4.8e-05,0.031375,-0.000414,-0.002206,-0.001084,-0.000621,0.017807,0.006518,-0.001117
1624165223313507557,7,1624165223313507557,0.0054,-0.000193,-0.000295,0.999507,-8e-06,0.031377,-0.00034,-0.001693,0.007686,-0.000202,0.019604,0.005918,-0.002563
1624165223413504362,8,1624165223413504362,0.005009,0.002403,0.000983,0.999511,-3.9e-05,0.03125,-0.000601,-0.003709,0.01051,0.004431,0.018339,0.008477,-0.003423
1624165223513501167,9,1624165223513501167,0.003863,-0.003632,0.000726,0.999515,6.8e-05,0.031138,-0.00019,-0.007379,-0.00594,0.003055,0.018736,0.008217,-0.001831
1624165223613497734,10,1624165223613497734,0.004912,-0.005822,0.001221,0.99951,-7.2e-05,0.031271,-0.000177,-0.005251,-0.01053,0.003854,0.018242,0.00977,-0.003225
1624165223713494539,11,1624165223713494539,0.002534,-0.004018,0.001702,0.999514,-1.7e-05,0.031168,-0.000425,-0.008705,-0.004972,0.00389,0.019954,0.009158,-0.003189
1624165223813491344,12,1624165223813491344,0.003177,-0.00389,0.002034,0.999513,0.000156,0.031189,-0.000128,-0.005486,-0.004359,0.004509,0.01676,0.009339,-0.002369
1624165223913487911,13,1624165223913487911,0.003717,-0.004621,0.002704,0.999514,0.000241,0.031149,-0.000298,-0.002674,-0.005615,0.004971,0.019362,0.007745,-0.002177
1624165224013484716,14,1624165224013484716,0.00502,-0.001105,0.000941,0.999513,-2.1e-05,0.031189,-0.000617,0.001066,0.002549,0.001542,0.019105,0.006452,-0.003414
1624165224113481522,15,1624165224113481522,0.006856,-0.00061,0.001153,0.999511,4.1e-05,0.031253,-0.000405,0.003778,0.003457,-0.000882,0.01493,0.005195,-0.000766
1624165224213478327,16,1624165224213478327,0.005873,-0.004973,-0.000309,0.99951,-1.3e-05,0.03129,-0.000241,0.001304,-0.003518,-0.003548,0.01909,0.008482,-0.000806
1624165224313474894,17,1624165224313474894,0.004877,-0.002161,-0.002197,0.999509,-7.2e-05,0.0313,-0.000265,-0.002804,0.001832,-0.006379,0.018972,0.010963,-0.004268
1624165224413471699,18,1624165224413471699,0.006798,-0.00155,0.000922,0.999505,5e-06,0.031436,-0.000306,3.1e-05,0.003029,0.002763,0.019262,0.009953,-0.003272
1624165224513468504,19,1624165224513468504,0.002877,-0.005305,0.001428,0.99951,0.000186,0.031274,-0.000318,-0.009321,-0.007071,0.003939,0.018435,0.008383,-0.002015
1624165224613465309,20,1624165224613465309,0.003124,-0.007953,-0.000558,0.999511,-2.6e-05,0.031236,-0.000336,-0.005978,-0.010975,-0.000661,0.018791,0.008562,-0.002292
1624165224713461876,21,1624165224713461876,0.002424,-0.003543,0.001646,0.999514,0.000119,0.031147,-0.000355,-0.006802,0.000695,0.005491,0.02078,0.006986,-0.003244
1624165224813458681,22,1624165224813458681,0.005857,-0.005968,0.003024,0.99952,7.4e-05,0.030975,-0.00043,0.002364,-0.006225,0.007356,0.01804,0.00591,-0.001286
1624165224913455486,23,1624165224913455486,0.005107,-0.006053,0.000845,0.999517,-5.3e-05,0.031044,-0.000248,0.001022,-0.004605,5.2e-05,0.021382,0.008064,-0.002556
1624165225013452291,24,1624165225013452291,0.005645,-0.002315,0.000219,0.999512,-3.1e-05,0.031204,-0.000278,0.002018,0.002245,-0.001289,0.016902,0.008209,-0.001259
1624165225113448858,25,1624165225113448858,0.005032,-0.000718,0.000467,0.999506,6.7e-05,0.03142,-0.000342,-0.001168,0.003229,-0.002028,0.019937,0.008051,-0.002386
1624165225213445663,26,1624165225213445663,0.006238,-0.00269,0.000706,0.999507,-1.8e-05,0.031381,-0.000133,0.00034,-0.00075,-0.000767,0.017557,0.006526,-0.001859
1624165225313442469,27,1624165225313442469,0.005112,-0.004258,-0.000912,0.999512,8.9e-05,0.031229,-0.000175,-0.002163,-0.00494,-0.00347,0.020913,0.008189,-0.002694
1624165225413439274,28,1624165225413439274,0.004625,-0.003888,-0.001356,0.999509,1e-06,0.031305,-0.000261,-0.003885,-0.004407,-0.001616,0.019482,0.010528,-0.003403
1624165225513435841,29,1624165225513435841,0.005097,-0.000459,-8.4e-05,0.999514,0.000127,0.031162,-0.000391,-0.002821,0.001857,0.001689,0.018241,0.006475,-0.000858
1624165225613432646,30,1624165225613432646,0.005929,-0.002447,-0.000794,0.999507,0.000177,0.031373,-0.000372,-0.000876,-0.003802,0.000218,0.019565,0.008982,-0.004133
1624165225713429451,31,1624165225713429451,0.003213,-0.002763,-0.00027,0.999508,0.000173,0.03136,-0.000194,-0.006101,-0.006358,0.000956,0.018075,0.011136,-0.003105
1624165225813426018,32,1624165225813426018,0.00489,-0.00276,0.00017,0.999507,0.000135,0.03138,-0.000359,-0.001702,-0.008266,0.001065,0.017169,0.007901,-0.001135
1624165225913422823,33,1624165225913422823,0.001382,-0.006831,0.000816,0.999513,-2e-06,0.03119,-0.000357,-0.008622,-0.014213,0.002536,0.019778,0.00751,-0.002054
1624165226013419628,34,1624165226013419628,0.004576,-0.005562,0.000217,0.99951,-0.000105,0.031299,-0.000275,-0.001605,-0.00916,0.000109,0.018613,0.008251,-0.003254
1624165226113416433,35,1624165226113416433,0.0036,-0.009119,0.000503,0.999514,-3.9e-05,0.031166,1e-05,-0.003579,-0.014999,0.00259,0.017276,0.008034,-0.001911
1624165226213413000,36,1624165226213413000,0.003767,-0.007263,-0.000738,0.999512,-0.000179,0.031217,-0.000311,-0.003248,-0.010598,-0.00115,0.019046,0.008429,-0.001838
1624165226313409805,37,1624165226313409805,0.003487,-0.006701,-0.000542,0.999512,2.5e-05,0.031233,-0.000183,-0.003404,-0.007398,-0.00069,0.020596,0.008764,-0.004398
1624165226413406610,38,1624165226413406610,0.003954,-0.003901,-0.000433,0.99951,0.000216,0.03128,-2.1e-05,-0.001497,-0.002436,-0.0006,0.019068,0.010022,-0.002049
1624165226513403416,39,1624165226513403416,0.005351,-0.001006,-0.00119,0.999507,0.000145,0.031381,-0.000457,0.001717,0.004366,-0.001952,0.019071,0.007575,-0.003261
