time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609054399861213923,3,1609054399861213923,0.010715,0.000477,0.013242,0.999626,0.000278,0.026894,-0.004894,0.000157,0.006499,0.002861,0.004424,-0.000506,0.008931
1609054399973625183,4,1609054399973625183,0.009929,0.004674,0.01349,0.999622,0.00037,0.027013,-0.005018,-0.006521,0.016237,0.00266,0.017152,-0.000156,1.5e-05
1609054400067425489,5,1609054400067425489,0.011117,-0.002584,0.014101,0.999621,0.000431,0.027024,-0.005161,-0.004647,-0.003355,0.003413,0.012556,0.001917,0.004635
1609054400161307335,6,1609054400161307335,0.00869,0.002367,0.01384,0.999622,0.000357,0.026988,-0.005184,-0.011326,0.004965,0.001783,0.007176,0.002065,0.007085
1609054400273871660,7,1609054400273871660,0.008885,0.00231,0.012831,0.999621,0.000278,0.02703,-0.005111,-0.011521,0.006886,-0.001135,0.018439,0.003459,-0.003244
1609054400368118763,8,1609054400368118763,0.007617,0.00319,0.012373,0.999626,0.000474,0.026824,-0.005122,-0.013685,0.004826,-0.002793,0.014664,0.002097,0.002944
1609054400461277246,9,1609054400461277246,0.00776,0.004272,0.011627,0.999625,0.000572,0.026863,-0.005091,-0.012561,0.004631,-0.005096,0.006844,-0.001064,0.008108
1609054400573780298,10,1609054400573780298,0.008487,-0.000562,0.011795,0.999632,0.000341,0.026566,-0.005304,-0.009996,-6.8e-05,-0.002138,0.017972,0.002461,-0.000788
1609054400667470217,11,1609054400667470217,0.008793,-0.001883,0.01096,0.999629,0.000298,0.026712,-0.005264,-0.009273,-0.003207,-0.003265,0.011416,0.003577,0.00348
1609054400761376381,12,1609054400761376381,0.008299,-6.4e-05,0.010857,0.999627,0.000229,0.026757,-0.005353,-0.010666,-0.002605,-0.003961,0.004686,-4.9e-05,0.009915
1609054400873860598,13,1609054400873860598,0.008533,-0.003854,0.01138,0.999623,0.000309,0.026898,-0.005472,-0.009814,-0.006994,-0.00035,0.015002,0.001644,-0.001536
1609054400967617035,14,1609054400967617035,0.008608,-0.003611,0.011787,0.999622,0.000317,0.026943,-0.005306,-0.009105,-0.006962,-2.5e-05,0.012135,0.000189,0.004238
1609054401061506271,15,1609054401061506271,0.009317,-0.003236,0.013024,0.999625,0.000215,0.026886,-0.005043,-0.007326,-0.006107,0.002134,0.006494,0.000289,0.007642
1609054401173676968,16,1609054401173676968,0.010267,-0.007538,0.013713,0.999627,0.000466,0.02681,-0.00508,-0.007611,-0.006882,0.004579,0.017127,0.000255,-0.000957
1609054401267473936,17,1609054401267473936,0.007001,-0.005559,0.014571,0.999627,0.000307,0.026818,-0.005019,-0.016025,-0.002126,0.005507,0.014073,0.00277,0.003777
1609054401361264229,18,1609054401361264229,0.006653,-0.009954,0.015742,0.999629,0.000234,0.026734,-0.005125,-0.014809,-0.010281,0.006234,0.004857,0.000771,0.007955
1609054401474869967,19,1609054401474869967,0.008054,-0.011019,0.013803,0.999626,0.000423,0.026825,-0.005121,-0.010243,-0.006674,0.000838,0.018882,0.002621,-0.000803
1609054401567376375,20,1609054401567376375,0.008754,-0.013767,0.01382,0.999626,0.000322,0.026883,-0.004893,-0.008487,-0.009449,0.000912,0.013966,0.000538,0.004686
1609054401661370039,21,1609054401661370039,0.007402,-0.009033,0.013417,0.999628,0.000265,0.026823,-0.004894,-0.012561,-0.001198,-0.000543,0.004011,-0.001079,0.00731
1609054401773677588,22,1609054401773677588,0.006445,-0.005755,0.012185,0.999626,0.000331,0.026842,-0.005143,-0.014783,0.005232,-0.002814,0.012959,0.000122,0.000696
1609054401867427826,23,1609054401867427826,0.007611,0.000237,0.012417,0.99962,0.000222,0.027066,-0.005076,-0.011928,0.012107,-0.001594,0.012916,0.003207,0.003883
1609054401961331129,24,1609054401961331129,0.00755,0.001895,0.012967,0.99962,0.000305,0.02703,-0.005292,-0.011079,0.010595,-0.001073,0.004241,5.7e-05,0.007707
1609054402073986530,25,1609054402073986530,0.006649,0.005696,0.011814,0.999617,0.000389,0.027126,-0.005381,-0.013832,0.017471,-0.003869,0.017612,0.001368,0.001355
1609054402167703629,26,1609054402167703629,0.006127,0.004274,0.012398,0.999625,0.000531,0.026852,-0.005338,-0.013709,0.011238,-0.002542,0.013529,8e-06,0.002459
1609054402261711836,27,1609054402261711836,0.004528,0.006782,0.0115,0.999622,0.000462,0.026953,-0.005245,-0.01627,0.011495,-0.00447,0.004714,0.000959,0.007378
1609054402373874903,28,1609054402373874903,0.005022,0.004705,0.012794,0.999623,0.000345,0.026911,-0.005267,-0.014413,0.008344,0.000505,0.017281,0.000884,0.001053
1609054402467696428,29,1609054402467696428,0.006302,-0.001365,0.013057,0.999624,0.000301,0.026856,-0.005417,-0.0104,-0.005664,0.000365,0.010808,0.000526,0.004713
1609054402561929226,30,1609054402561929226,0.005852,0.000411,0.012874,0.999629,0.000324,0.026739,-0.005169,-0.010376,-0.002231,3.3e-05,0.006882,0.000728,0.007083
1609054402673858643,31,1609054402673858643,0.007842,0.001811,0.011763,0.99963,0.000314,0.026698,-0.005108,-0.005741,0.003946,-0.001679,0.020108,0.001716,-0.001448
1609054402767964602,32,1609054402767964602,0.008012,0.001461,0.012569,0.999625,0.000433,0.026859,-0.005264,-0.006684,0.001478,-4.9e-05,0.012093,-0.000469,0.002097
1609054402861785173,33,1609054402861785173,0.009378,0.002196,0.013609,0.999629,0.00045,0.026728,-0.005054,-0.003667,0.002488,0.002636,0.005044,0.000339,0.006492
1609054402973661423,34,1609054402973661423,0.010074,-0.002401,0.014299,0.999625,0.000398,0.026872,-0.005154,-0.004272,-0.002378,0.004051,0.015829,0.002329,-0.000584
1609054403068194389,35,1609054403068194389,0.010372,-0.001144,0.013893,0.999625,0.000389,0.026863,-0.005149,-0.004655,-0.000298,0.002578,0.01307,0.003066,0.001512
1609054403161856890,36,1609054403161856890,0.010037,-0.003889,0.012906,0.999621,0.000443,0.026983,-0.005284,-0.006312,-0.005658,-0.001514,0.00771,0.000183,0.005995
1609054403274002790,37,1609054403274002790,0.009599,0.000656,0.01159,0.999623,0.000307,0.026918,-0.00523,-0.009202,0.00583,-0.003893,0.017862,-0.000246,-0.001341
1609054403367282152,38,1609054403367282152,0.009226,-0.003633,0.01272,0.999625,0.00043,0.026855,-0.005259,-0.009876,-0.002,-0.00038,0.012879,0.001161,0.001711
1609054403461115360,39,1609054403461115360,0.006666,-0.005294,0.0128,0.999624,0.000266,0.026886,-0.005202,-0.01604,-0.00493,-0.000835,0.006359,4.1e-05,0.006548
1609054403573681593,40,1609054403573681593,0.006476,-0.004691,0.012001,0.999627,0.000243,0.026792,-0.005213,-0.015942,-0.000253,-0.001869,0.019207,0.003959,-0.001638
1609054403667495728,41,1609054403667495728,0.006881,-0.007703,0.011804,0.999627,0.000414,0.026789,-0.00518,-0.013703,-0.005172,-0.002476,0.013776,0.000913,0.002038
1609054403761391163,42,1609054403761391163,0.007023,-0.00754,0.012593,0.999623,0.000325,0.026951,-0.005077,-0.013345,-0.005298,-0.000911,0.00868,-0.002012,0.0065
1609054403873744249,43,1609054403873744249,0.005165,-0.005352,0.013256,0.999625,0.000498,0.026872,-0.005237,-0.017473,0.000449,0.001477,0.018129,0.002463,-0.000715
1609054403967506409,44,1609054403967506409,0.007465,0.000144,0.013351,0.999627,0.000355,0.026862,-0.004867,-0.01109,0.010051,0.001111,0.011853,0.002091,0.00239
1609054404061492682,45,1609054404061492682,0.010217,0.005,0.013333,0.999635,0.000283,0.026607,-0.004648,-0.003096,0.017539,-0.000117,0.006858,-7.2e-05,0.007666
1609054404173678637,46,1609054404173678637,0.009244,0.009206,0.013059,0.999629,0.000441,0.026764,-0.004856,-0.00875,0.022541,-0.000472,0.017054,0.001923,-0.000549
1609054404267392397,47,1609054404267392397,0.006405,0.008418,0.012806,0.999625,0.000392,0.026844,-0.005213,-0.015046,0.015834,-0.001304,0.01234,0.002758,0.004215
1609054404361479521,48,1609054404361479521,0.005231,0.006811,0.013573,0.999627,0.000114,0.02681,-0.005083,-0.016067,0.011883,-4e-05,0.007443,0.001014,0.006945
1609054404473576784,49,1609054404473576784,0.009829,0.004326,0.014217,0.999624,0.000375,0.026931,-0.00512,-0.005974,0.009724,0.00105,0.019185,0.003416,-0.001671
1609054404567915678,50,1609054404567915678,0.010019,0.004957,0.013269,0.999623,0.000411,0.026948,-0.005224,-0.00668,0.005845,-0.001894,0.011356,0.001962,0.004986
1609054404661333084,51,1609054404661333084,0.010544,0.002207,0.014132,0.999621,0.00034,0.026959,-0.005458,-0.006931,-0.000893,0.000316,0.006894,-0.001256,0.007762
1609054404773445129,52,1609054404773445129,0.009434,-0.000956,0.012761,0.99962,0.000383,0.026957,-0.005701,-0.011107,-0.002706,-0.001838,0.018456,0.002221,-0.001059
1609054404867273808,53,1609054404867273808,0.007933,-0.003937,0.012815,0.999622,0.000285,0.026876,-0.00563,-0.01451,-0.009165,-0.001293,0.012379,0.001651,0.002677
1609054404961496830,54,1609054404961496830,0.007853,-0.003774,0.014392,0.999619,0.00028,0.027054,-0.005395,-0.014768,-0.009976,0.001638,0.003908,-0.000452,0.009476
1609054405073533297,55,1609054405073533297,0.007795,-0.005662,0.013905,0.999626,0.000219,0.026808,-0.005343,-0.013257,-0.009596,-0.000395,0.015568,0.002254,-0.001517
1609054405167301416,56,1609054405167301416,0.007157,-0.000857,0.013176,0.99963,0.000187,0.026715,-0.005032,-0.013633,-0.000272,-0.001872,0.013121,0.002067,0.00208
1609054405261336088,57,1609054405261336088,0.008334,-0.004795,0.014527,0.999624,0.000458,0.026908,-0.005173,-0.010595,-0.009598,0.000341,0.002569,4.4e-05,0.009121
1609054405374491930,58,1609054405374491930,0.007543,-0.004414,0.012725,0.999623,0.000386,0.026923,-0.005267,-0.012771,-0.004846,-0.003463,0.01934,0.003977,-0.003688
1609054405467295170,59,1609054405467295170,0.006323,-0.004334,0.013418,0.999626,0.000309,0.026815,-0.005233,-0.014802,-0.005379,-0.001035,0.012643,0.002038,0.002462
1609054405561595678,60,1609054405561595678,0.007961,-0.002147,0.013064,0.99963,8.5e-05,0.026734,-0.004957,-0.010025,-0.002294,-0.001773,0.00514,0.000885,0.007878
1609054405674577475,61,1609054405674577475,0.007617,0.000136,0.012915,0.999628,0.000156,0.026785,-0.005074,-0.011245,0.004118,-0.000959,0.018695,0.001308,-0.003684
1609054405767358780,62,1609054405767358780,0.007893,0.003459,0.012405,0.999628,0.00032,0.026786,-0.005001,-0.010054,0.006348,-0.00176,0.011198,0.000919,0.003762
1609054405862248659,63,1609054405862248659,0.007904,6.6e-05,0.013011,0.999629,0.000596,0.026721,-0.005138,-0.009823,-0.002632,0.000343,0.005987,-0.000552,0.007998
1609054405973615646,64,1609054405973615646,0.008809,-0.001424,0.012924,0.999626,0.000578,0.026812,-0.005288,-0.008777,-0.001236,0.001291,0.01702,0.004079,-0.002433
1609054406067150831,65,1609054406067150831,0.00772,-0.003515,0.013454,0.999625,0.000427,0.026885,-0.005133,-0.011369,-0.005357,0.001625,0.009911,0.001523,0.005252
1609054406161258936,66,1609054406161258936,0.00944,-0.004692,0.014424,0.999628,0.000266,0.026812,-0.004868,-0.006872,-0.006542,0.003088,0.006483,0.001823,0.006989
1609054406274150848,67,1609054406274150848,0.009235,-0.006539,0.013976,0.999628,0.000212,0.026781,-0.005036,-0.008402,-0.006368,0.001004,0.014656,-0.001117,0.000824
1609054406367122889,68,1609054406367122889,0.010159,-0.008515,0.015278,0.999628,0.000311,0.026785,-0.005083,-0.005788,-0.010933,0.00277,0.011762,0.001994,0.004662
1609054406463082075,69,1609054406463082075,0.008869,-0.008251,0.015624,0.999622,0.000168,0.027013,-0.005021,-0.011197,-0.009135,0.002586,0.010021,0.000281,0.005261
