time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1624182043131761074,2,1624182043131761074,-0.00056,0.00691,-0.000628,0.999713,0.000106,0.019454,-0.013976,0.011179,-0.0323,0.012635,0.012919,0.004402,-0.005924
1624182043231758356,3,1624182043231758356,-0.002402,0.009531,-0.000508,0.999713,0.000115,0.019409,-0.014007,0.002693,-0.019645,0.012149,0.011163,0.000966,-0.005668
1624182043331755638,4,1624182043331755638,-0.003183,0.008369,-0.001025,0.999714,0.000132,0.01938,-0.013991,-7e-05,-0.019621,0.008904,0.010214,0.002422,-0.005335
1624182043431752920,5,1624182043431752920,-0.004055,0.007718,-0.001534,0.999711,0.000165,0.019475,-0.014037,-0.00275,-0.019097,0.007007,0.010121,0.002709,-0.004203
1624182043531750441,6,1624182043531750441,-0.006157,0.009932,-0.002026,0.999713,0.000156,0.019374,-0.014028,-0.007622,-0.011634,0.006161,0.011029,0.002803,-0.004959
1624182043631747723,7,1624182043631747723,-0.007312,0.011113,-0.002393,0.999714,-5.3e-05,0.019375,-0.014001,-0.008931,-0.007763,0.006762,0.010134,0.001364,-0.005097
1624182043731745005,8,1624182043731745005,-0.006838,0.014094,-0.000285,0.999719,-3.4e-05,0.019141,-0.013971,-0.004911,-0.001633,0.012364,0.010831,0.003232,-0.005505
1624182043831742287,9,1624182043831742287,-0.006465,0.014399,-0.000283,0.999716,8e-06,0.019223,-0.014014,-0.003171,-0.002375,0.012104,0.009666,0.00163,-0.006488
1624182043931739569,10,1624182043931739569,-0.00625,0.012303,-0.000892,0.999711,0.000125,0.019471,-0.014073,-0.003715,-0.006251,0.010619,0.013664,0.004642,-0.005192
1624182044031737089,11,1624182044031737089,-0.004776,0.010053,-0.0019,0.999708,0.00015,0.019586,-0.014086,-0.00066,-0.010289,0.007255,0.010022,0.001893,-0.005213
