time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1623492960881044865,2,1623492960881044865,-0.001683,-0.000971,-0.008066,0.999693,0.000156,0.024534,-0.0032,0.005701,-0.006235,0.000511,0.010305,0.001671,-0.005653
1623492960981043339,3,1623492960981043339,-0.008353,-0.001395,-0.000601,0.999697,-3e-06,0.02436,-0.003374,-0.010735,-0.006165,0.015769,0.0103,0.003064,-0.004275
1623492961081042051,4,1623492961081042051,-0.007019,-0.00191,0.004564,0.999703,0.000156,0.024114,-0.003451,-0.004319,-0.007213,0.021377,0.012397,0.003711,-0.005032
1623492961181040764,5,1623492961181040764,-0.007964,-1.2e-05,1.7e-05,0.999697,7.2e-05,0.024369,-0.00323,-0.007341,-0.002161,0.008626,0.01161,0.001186,-0.004852
1623492961281039476,6,1623492961281039476,-0.008673,-0.000567,-0.00051,0.999699,0.000104,0.024281,-0.003478,-0.006364,-0.002848,0.005543,0.010721,0.001664,-0.004189
1623492961381037951,7,1623492961381037951,-0.009087,-0.001368,-0.001983,0.9997,0.000124,0.024181,-0.003761,-0.004072,-0.007005,0.00142,0.011345,0.003538,-0.005111
1623492961481036663,8,1623492961481036663,-0.006129,0.001351,-0.002404,0.999697,5.7e-05,0.024406,-0.002995,0.004113,0.003142,0.000121,0.009092,0.002693,-0.003049
1623492961581035376,9,1623492961581035376,-0.006503,-0.000312,-0.002184,0.999693,2.9e-05,0.024548,-0.003303,0.001803,-0.002241,0.000745,0.011845,0.003932,-0.003724
1623492961681034088,10,1623492961681034088,-0.008892,0.000309,-0.000102,0.999694,3.2e-05,0.024459,-0.003576,-0.003562,-0.00103,0.005169,0.010801,0.000126,-0.003269
1623492961781032562,11,1623492961781032562,-0.009254,-0.000533,-0.004598,0.999694,0.000139,0.024463,-0.003631,-0.004575,-0.004005,-0.002462,0.010658,0.002502,-0.004002
1623492961881031275,12,1623492961881031275,-0.004723,0.000716,-0.005304,0.999695,3.8e-05,0.02448,-0.003176,0.007944,0.000471,-0.004378,0.013009,0.003409,-0.00444
1623492961981029987,13,1623492961981029987,-0.005015,0.000169,-0.004653,0.999694,6e-05,0.024506,-0.003307,0.007838,-0.003523,-0.002373,0.012756,0.005057,-0.003894
1623492962081028700,14,1623492962081028700,-0.002825,-0.000655,-0.004895,0.999689,0.0,0.024701,-0.003421,0.01029,-0.006215,-0.001709,0.010134,0.002798,-0.004169
1623492962181027174,15,1623492962181027174,-0.004511,0.000861,-0.009104,0.999693,2.5e-05,0.024517,-0.003419,0.00415,-0.001729,-0.007637,0.011354,0.00322,-0.00436
1623492962281025887,16,1623492962281025887,-0.004576,0.001142,-0.011296,0.999692,0.0,0.024558,-0.003283,0.003442,-0.001095,-0.010203,0.012422,0.002091,-0.004282
